Instance_name,Valid Solution,Best cost,Last update iteration,Last update time,Final iteration,Final time,Num edges cut
instance001,yes,1476,24,0.346054s,45858,600.008s,84
instance002,yes,432,31,0.506099s,38367,600.008s,99
instance003,yes,85950,17,0.294777s,35827,600.01s,113
instance004,yes,99820,42,0.84147s,30504,600.006s,138
instance005,yes,4.37773e+08,53,1.41247s,23935,600.003s,144
instance006,yes,126242,3,0.0913067s,25547,600.012s,222
instance007,yes,13374,117,3.61872s,19745,600.023s,162
instance008,yes,14214,79,2.69571s,18272,600.02s,169
instance009,yes,5.18856e+07,447,14.8113s,18193,600.017s,174
instance010,yes,12999,73,2.49908s,17961,600.003s,167
instance011,yes,13414,84,3.18069s,16169,600.01s,175
instance015,yes,2044,37,0.863419s,27688,600.001s,133
instance016,yes,76793,44,1.11168s,24498,600.022s,146
instance017,yes,4.7553e+07,75,2.16421s,21245,600.015s,154
instance018,yes,42950,41,1.15637s,22297,600.004s,195
instance019,yes,4.76562e+07,83,2.89122s,17540,600.002s,173
instance020,yes,4.99259e+07,102,4.23307s,14992,600.023s,184
instance021,yes,155170,81,4.93723s,10037,600.05s,327
