Instance_name,Valid Solution,Best cost,Last update iteration,Last update time,Final iteration,Final time,Num edges cut
instance001,yes,1549,15964,251.734s,38117,600.008s,80
instance002,yes,474,10998,191.112s,34451,600.004s,105
instance003,yes,95370,24838,481.83s,30928,600.003s,115
instance004,yes,109000,13687,325.32s,25248,600.02s,138
instance005,yes,5.4735e+08,14771,446.934s,19826,600.008s,146
instance006,yes,126496,8147,253.219s,19299,600.005s,222
instance007,yes,17579,11733,444.354s,15841,600.003s,166
instance008,yes,19114,3084,122.325s,15116,600s,176
instance009,yes,6.81556e+07,4051,166.808s,14590,600.041s,176
instance010,yes,18203,2598,110.032s,14266,600.041s,171
instance011,yes,18237,13120,591.666s,13305,600.013s,185
instance015,yes,2311,12189,318.276s,23009,600.013s,128
instance016,yes,102028,2443,72.2243s,20650,600.026s,154
instance017,yes,5.98853e+07,11148,390.411s,17127,600.024s,155
instance018,yes,57550,3455,119.417s,17209,600.003s,206
instance019,yes,6.21601e+07,10414,453.291s,13786,600.019s,178
instance020,yes,6.66188e+07,1305,68.2725s,11488,600.01s,194
instance021,yes,183590,5840,451.662s,7756,600.028s,331
