Instance_name,Valid Solution,Best cost,Last update iteration,Last update time,Final iteration,Final time,Num edges cut
instance001,yes,1499,22725,178.265s,75844,600.004s,82
instance002,yes,460,38686,474.376s,48839,600s,110
instance003,yes,88440,47697,408.224s,69907,600.006s,121
instance004,yes,103850,394,4.53339s,53276,600.008s,142
instance005,yes,4.88982e+08,32288,539.731s,35880,600.013s,155
instance006,yes,126242,243,5.67293s,25934,600.01s,224
instance007,yes,15277,12558,235.491s,31854,600.003s,178
instance008,yes,17020,1041,18.686s,32456,600.015s,183
instance009,yes,6.15911e+07,12931,238.865s,32499,600.008s,190
instance010,yes,14711,15181,292.22s,31158,600.014s,182
instance011,yes,16692,30587,593.615s,30914,600.009s,195
instance015,yes,2280,45026,454.937s,59159,600.006s,136
instance016,yes,85411,11442,179.469s,38972,600.005s,156
instance017,yes,5.32288e+07,20973,362.393s,34723,600.008s,165
instance018,yes,51875,390,8.2124s,28791,600.002s,210
instance019,yes,5.55886e+07,13059,238.953s,32743,600.013s,192
instance020,yes,5.89357e+07,2394,47.1366s,30100,600.011s,201
instance021,yes,164180,3545,75.6082s,28002,600.005s,351
