Instance_name,Valid Solution,Best cost,Last update iteration,Last update time,Final iteration,Final time,Num edges cut
instance001,yes,1499,14564,152.622s,56862,600.002s,72
instance002,yes,437,19601,245.35s,47285,600.002s,100
instance003,yes,87280,27475,339.627s,48213,600.004s,112
instance004,yes,100130,16924,230.137s,44016,600.005s,136
instance005,yes,4.41884e+08,8057,141.415s,34319,600.01s,139
instance006,yes,126242,20534,365.704s,33674,600.017s,222
instance007,yes,13857,13279,254.983s,30363,600.012s,160
instance008,yes,14723,25272,518.074s,29414,600.004s,162
instance009,yes,5.27042e+07,17662,360.571s,29320,600.018s,166
instance010,yes,13867,9987,203.168s,29515,600.011s,164
instance011,yes,14262,26514,572.322s,27791,600.008s,169
instance015,yes,2120,8180,121.978s,40627,600.013s,114
instance016,yes,76840,8338,137.236s,36580,600.016s,152
instance017,yes,4.78613e+07,14509,268.069s,32699,600.005s,152
instance018,yes,48775,22121,417.562s,32021,600.008s,190
instance019,yes,4.85656e+07,12610,266.44s,28386,600.015s,171
instance020,yes,5.49204e+07,21100,492.377s,25707,600.001s,180
instance021,yes,164860,17528,501.945s,20949,600.027s,325
