Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
instance001,74,146,25,true,1499,82,22725,170.481,80010,600.002
instance002,133,169,70,true,460,110,38686,460.543,50333,600.009
instance003,87,176,30,true,88440,121,47697,401.545,71075,600.004
instance004,109,202,50,true,103850,142,394,4.16447,57030,600.008
instance005,201,253,100,true,4.88982e+08,155,32288,530.561,36510,600.013
instance006,232,256,198,true,126242,224,243,5.48729,26499,600.019
instance007,216,288,100,true,15277,178,12558,218.045,34372,600.003
instance008,226,306,100,true,17020,183,1041,18.4457,33037,600.015
instance009,229,312,100,true,6.15911e+07,190,12931,232.36,33391,600.006
instance010,230,313,100,true,14711,182,15181,276.37,32944,600.002
instance011,244,337,100,true,16692,195,30587,558.704,32827,600.007
instance015,114,228,33,true,2280,136,45026,444.383,60704,600.002
instance016,168,247,76,true,85411,156,11442,164.63,41551,600.008
instance017,210,276,100,true,5.32288e+07,165,20973,359.155,35029,600.009
instance018,221,285,144,true,51875,210,390,7.67893,30582,600.006
instance019,231,319,100,true,5.55886e+07,192,13059,237.439,32939,600.01
instance020,254,361,100,true,5.89357e+07,201,2394,44.769,31471,600.011
instance021,247,486,100,true,164180,351,3545,75.1495,28237,600.013
