Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
instance001,74,146,25,true,1499,72,14564,144.799,60284,600.008
instance002,133,169,70,true,436,101,50649,594.702,51100,600.003
instance003,87,176,30,true,87280,112,27475,316.067,52062,600.002
instance004,109,202,50,true,100130,136,16924,219.726,46272,600.007
instance005,201,253,100,true,4.41884e+08,139,8057,132.99,36386,600.009
instance006,232,256,198,true,126242,222,20534,351.661,35044,600.012
instance007,216,288,100,true,13857,160,13279,240.632,33130,600.011
instance008,226,306,100,true,14723,162,25272,483.391,31347,600.014
instance009,229,312,100,true,5.27042e+07,166,17662,345.222,30802,600.003
instance010,230,313,100,true,13867,164,9987,194.91,30750,600.011
instance011,244,337,100,true,14148,168,28006,580.063,28966,600.009
instance015,114,228,33,true,2120,114,8180,115.964,42402,600.011
instance016,168,247,76,true,76840,152,8338,129.269,38831,600.013
instance017,210,276,100,true,4.78613e+07,152,14509,254.735,34196,600.009
instance018,221,285,144,true,48775,190,22121,397.379,33438,600.014
instance019,231,319,100,true,4.85656e+07,171,12610,248.518,30429,600.01
instance020,254,361,100,true,5.49204e+07,180,21100,458.793,27597,600.002
instance021,247,486,100,true,164550,325,21080,587.284,21537,600.013
