Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,170,20,16002,347.925,27723,600.014
20T1E2,320,321,20,true,58,21,23270,441.52,31560,600.015
20T1E3,320,320,20,true,65,19,805,15.5468,31215,600.014
20T1E4,320,321,20,true,26,20,6280,130.708,28665,600.009
20T1E5,320,320,20,true,60,20,20143,346.281,34788,600.007
20T2E1,320,650,20,true,3087,339,10153,527.956,11549,600.042
20T2E2,320,652,20,true,2938,342,11252,597.235,11305,600.036
20T2E3,320,648,20,true,2931,339,5796,292.349,11862,600.016
20T2E4,320,661,20,true,2611,343,9765,513.565,11420,600.048
20T2E5,320,662,20,true,2738,353,6754,354.999,11393,600.052
20T4E1,320,1390,20,true,14031,1071,8085,568.385,8540,600.05
20T4E2,320,1439,20,true,15017,1114,6895,492.921,8394,600.026
20T4E3,320,1392,20,true,14236,1064,7011,497.904,8471,600.049
20T4E4,320,1460,20,true,15140,1128,5458,402.547,8159,600.049
20T4E5,320,1467,20,true,14518,1132,1285,94.466,8185,600.032
20T6E1,320,2323,20,true,29637,1965,5730,499.596,6875,600.069
20T6E2,320,2223,20,true,28777,1868,599,49.9758,7250,600.043
20T6E3,320,2125,20,true,27615,1784,7002,562.865,7467,600.06
20T6E4,320,2264,20,true,29295,1923,2641,223.078,7122,600.077
20T6E5,320,2129,20,true,28979,1791,805,63.3951,7614,600.044
