Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,197,38,30181,437.445,41386,600.003
20T1E2,320,321,20,true,77,36,27390,396.332,41449,600.013
20T1E3,320,320,20,true,87,38,38320,556.322,41321,600.013
20T1E4,320,321,20,true,50,45,15576,227.645,40959,600.008
20T1E5,320,320,20,true,87,40,35506,517.827,41133,600.008
20T2E1,320,650,20,true,3099,359,1007,19.395,30656,600.006
20T2E2,320,652,20,true,2945,367,16157,310.897,31111,600.009
20T2E3,320,648,20,true,2944,365,22014,427.349,30928,600.016
20T2E4,320,661,20,true,2622,366,11095,216.355,30697,600.004
20T2E5,320,662,20,true,2747,370,2191,44.1942,29469,600.011
20T4E1,320,1390,20,true,14027,1085,1780,50.9855,21067,600.018
20T4E2,320,1439,20,true,15014,1131,2555,71.6521,21195,600.016
20T4E3,320,1392,20,true,14236,1083,1715,48.9037,21105,600.016
20T4E4,320,1460,20,true,15130,1160,1936,55.8614,21279,600.021
20T4E5,320,1467,20,true,14585,1145,2051,59.2387,20619,600.019
20T6E1,320,2323,20,true,29643,1992,14214,544.439,15661,600.027
20T6E2,320,2223,20,true,28766,1887,2308,86.4112,15825,600.017
20T6E3,320,2125,20,true,27615,1806,2519,93.3432,16196,600.027
20T6E4,320,2264,20,true,29285,1938,4854,189.398,15615,600.037
20T6E5,320,2129,20,true,28984,1811,3602,130.308,16497,600.009
