Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,20,7495,317.999,14140,600.02
20T1E2,320,321,20,true,52,20,4951,223.355,13411,600.034
20T1E3,320,320,20,true,64,19,3769,168.563,13436,600.008
20T1E4,320,321,20,true,32,21,4238,189.2,13414,600.041
20T1E5,320,320,20,true,64,20,10477,459.952,13666,600.038
20T2E1,320,650,20,true,4781,339,1669,219.392,4604,600.068
20T2E2,320,652,20,true,4606,342,4409,578.484,4571,600.059
20T2E3,320,648,20,true,4589,334,2085,269.658,4630,600.084
20T2E4,320,661,20,true,4328,340,2793,363.319,4612,600.032
20T2E5,320,662,20,true,4511,353,703,95.914,4374,600.039
20T4E1,320,1390,20,true,18336,1026,81,38.4869,1221,600.241
20T4E2,320,1439,20,true,19605,1084,929,467.777,1189,600.127
20T4E3,320,1392,20,true,18575,1003,705,345.069,1236,600.345
20T4E4,320,1460,20,true,19548,1035,303,161.525,1120,600.084
20T4E5,320,1467,20,true,18939,1087,1073,567.231,1135,600.204
20T6E1,320,2323,20,true,35058,1857,45,51.913,498,600.916
20T6E2,320,2223,20,true,34348,1735,382,422.378,541,600.695
20T6E3,320,2125,20,true,32862,1658,178,178.651,588,600.445
20T6E4,320,2264,20,true,34602,1811,204,239.299,507,601.012
20T6E5,320,2129,20,true,34233,1731,467,473.923,590,600.348
