Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,20,1,0.0289985,21481,600.011
20T1E2,320,321,20,true,50,19,1,0.0286093,21505,600.002
20T1E3,320,320,20,true,61,19,1,0.0443356,21682,600.026
20T1E4,320,321,20,true,23,20,1,0.0287167,21606,600.011
20T1E5,320,320,20,true,59,20,1,0.0285666,21602,600.012
20T2E1,320,650,20,true,3053,319,71,3.86284,10859,600.023
20T2E2,320,652,20,true,2915,332,69,3.68246,10976,600.026
20T2E3,320,648,20,true,2927,331,58,3.11394,10862,600.012
20T2E4,320,661,20,true,2593,340,65,3.64541,10749,600.031
20T2E5,320,662,20,true,2735,351,58,3.13447,10715,600.04
20T4E1,320,1390,20,true,14020,1045,719,82.2831,5169,600.101
20T4E2,320,1439,20,true,15014,1082,124,14.6047,4910,600.113
20T4E3,320,1392,20,true,14235,1041,143,17.1144,5213,600.024
20T4E4,320,1460,20,true,15053,1080,149,18.1775,5020,600.044
20T4E5,320,1467,20,true,14498,1117,136,16.4895,5054,600.101
20T6E1,320,2323,20,true,29631,1924,2232,410.995,3267,600.124
20T6E2,320,2223,20,true,28767,1829,256,45.1782,3434,600.121
20T6E3,320,2125,20,true,27622,1716,165,27.867,3570,600.14
20T6E4,320,2264,20,true,29283,1874,232,41.0907,3389,600.109
20T6E5,320,2129,20,true,28982,1742,192,32.3058,3573,600.164
