Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,340,73,9,1.1248,5186,600.099
40T1E2,320,320,40,true,316,74,1,0.115929,5109,600.083
40T1E3,320,322,40,true,178,74,11,1.35399,5223,600.066
40T1E4,320,322,40,true,379,79,1,0.11381,5476,600.104
40T1E5,320,320,40,true,238,75,5,0.56187,5298,600.091
40T2E1,320,545,40,true,3208,463,324,62.9286,3102,600.013
40T2E2,320,537,40,true,3587,456,3024,576.713,3147,600.162
40T2E3,320,541,40,true,3361,448,724,128.095,3378,600.081
40T2E4,320,543,40,true,3468,451,1374,260.141,3119,600.086
40T2E5,320,540,40,true,3313,444,849,161.11,3149,600.05
40T4E1,320,1226,40,true,14636,1425,1164,555.65,1258,600.415
40T4E2,320,1201,40,true,14443,1493,1139,536.517,1274,600.166
40T4E3,320,1213,40,true,14768,1452,1123,524.66,1285,600.305
40T4E4,320,1227,40,true,14332,1500,1140,544.906,1256,600.441
40T4E5,320,1210,40,true,15173,1472,1233,583.16,1269,600.211
40T6E1,320,1906,40,true,30730,2049,736,595.664,742,600.544
40T6E2,320,1927,40,true,31806,2052,699,576.213,728,600.18
40T6E3,320,1887,40,true,30724,2079,669,541.808,741,600.176
40T6E4,320,1865,40,true,30953,2045,670,523.034,769,600.296
40T6E5,320,1868,40,true,30588,2051,709,560.802,759,600.404
