Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,20,138,3.06375,30411,600.002
20T1E2,320,321,20,true,50,21,1223,24.288,30369,600.01
20T1E3,320,320,20,true,61,19,132,2.7537,30051,600.004
20T1E4,320,321,20,true,23,20,137,2.85087,30063,600.007
20T1E5,320,320,20,true,59,20,160,3.25694,30378,600.017
20T2E1,320,650,20,false,16.0912,71,10556,387.759,16344,600.001
20T2E2,320,652,20,false,16.0861,65,5586,205.467,16354,600.034
20T2E3,320,648,20,false,17.0742,46,15400,554.03,16681,600.002
20T2E4,320,661,20,false,17.0749,39,10961,400.349,16454,600.033
20T2E5,320,662,20,false,17.0528,42,15079,559.848,16165,600.013
20T4E1,320,1390,20,false,19,0,1006,66.0916,9249,600.062
20T4E2,320,1439,20,false,19,0,859,58.0285,8990,600.034
20T4E3,320,1392,20,false,19,0,624,41.0567,9303,600.035
20T4E4,320,1460,20,false,19,0,783,54.2118,8785,600.063
20T4E5,320,1467,20,false,19,0,1033,70.7507,8872,600.015
20T6E1,320,2323,20,false,19,0,1521,153.895,5966,600.002
20T6E2,320,2223,20,false,19,0,3075,302.311,6125,600.083
20T6E3,320,2125,20,false,19,0,1112,104.548,6436,600.031
20T6E4,320,2264,20,false,19,0,2532,250.42,6081,600.011
20T6E5,320,2129,20,false,19,0,1341,125.581,6454,600.05
