Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
instance001,74,146,25,true,1476,126,18,3.72075,2958,600.02
instance002,133,169,70,true,432,183,40,51.1435,472,600.429
instance003,87,176,30,true,85950,189,22,6.33486,2071,600.29
instance004,109,202,50,true,99820,249,31,18.7901,999,600.039
instance005,201,253,100,true,4.38414e+08,245,162,417.622,233,600.115
instance006,232,256,198,true,126242,431,14,85.5246,98,600.145
instance007,216,288,100,true,13374,291,86,237.127,218,600.717
instance008,226,306,100,true,14214,291,91,261.071,210,601.097
instance009,229,312,100,true,5.1929e+07,304,129,376.4,206,601.366
instance010,230,313,100,true,12999,292,63,191.239,199,601.658
instance011,244,337,100,true,13414,296,109,342.197,191,600.104
instance015,114,228,33,true,2044,204,55,24.3333,1363,600.148
instance016,168,247,76,true,76793,270,56,99.6901,338,601.738
instance017,210,276,100,true,4.7553e+07,269,84,225.251,221,600.899
instance018,221,285,144,true,42950,364,56,245.669,137,601.144
instance019,231,319,100,true,4.76562e+07,323,128,383.858,200,600.012
instance020,254,361,100,true,4.99259e+07,313,131,435.121,180,603.217
instance021,247,486,100,true,155240,611,141,580.512,146,600.968
