Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
instance001,74,146,25,true,1476,84,17,0.225599,46138,600.004
instance002,133,169,70,true,432,98,22,0.342007,39322,600.001
instance003,87,176,30,true,85950,113,14,0.214,40208,600.001
instance004,109,202,50,true,99820,139,27,0.483442,34770,600.015
instance005,201,253,100,true,4.37773e+08,142,48,1.0084,27808,600.019
instance006,232,256,198,true,126242,222,1,0.0224703,30099,600.007
instance007,216,288,100,true,13374,162,59,1.42635,25557,600.017
instance008,226,306,100,true,14214,168,54,1.44652,23033,600.008
instance009,229,312,100,true,5.18856e+07,174,54,1.46587,22741,600.023
instance010,230,313,100,true,12999,166,44,1.1321,23299,600.022
instance011,244,337,100,true,13414,174,75,2.09499,21728,600.027
instance015,114,228,33,true,2044,132,29,0.555828,31604,600.003
instance016,168,247,76,true,76793,146,34,0.68802,29968,600.017
instance017,210,276,100,true,4.7553e+07,152,54,1.31959,26170,600.023
instance018,221,285,144,true,42950,191,22,0.507815,26098,600.01
instance019,231,319,100,true,4.76562e+07,172,73,1.97386,22514,600.023
instance020,254,361,100,true,4.99259e+07,184,71,2.16466,19920,600.008
instance021,247,486,100,true,155170,326,61,2.40446,15425,600.031
