Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
instance001,74,146,25,true,1489,60,32629,359.368,54915,600.004
instance002,133,169,70,true,432,72,9547,124.157,46074,600.004
instance003,87,176,30,true,85950,84,1763,21.8776,48549,600.011
instance004,109,202,50,true,100130,88,4352,63.4862,41438,600.008
instance005,201,253,100,true,4.41326e+08,119,8999,161.495,33355,600.003
instance006,232,256,198,true,126242,116,11935,229.687,31888,600.001
instance007,216,288,100,true,13442,121,9968,203.685,29386,600.018
instance008,226,306,100,true,14612,138,8337,173.723,28808,600.005
instance009,229,312,100,true,5.28117e+07,145,11085,236.098,28166,600.003
instance010,230,313,100,true,13461,140,17050,359.932,28389,600.019
instance011,244,337,100,true,13879,161,17599,409.972,25762,600.007
instance015,114,228,33,true,2064,105,12510,191.005,39437,600.005
instance016,168,247,76,true,76793,112,5840,98.5457,34930,600.01
instance017,210,276,100,true,4.75577e+07,137,10626,211.007,30528,600.002
instance018,221,285,144,true,43000,144,14748,287.572,30766,600.006
instance019,231,319,100,true,4.81386e+07,151,11472,248.913,27851,600.011
instance020,254,361,100,true,5.06738e+07,159,14765,363.148,24397,600.011
instance021,247,486,100,true,158910,211,14691,455.437,19369,600.004
