Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,340,0,16,0.289232,31630,600.014
40T1E2,320,320,40,true,316,0,19,0.339231,31871,600.006
40T1E3,320,322,40,true,178,0,27,0.484051,32994,600.006
40T1E4,320,322,40,true,379,0,16,0.285589,34152,600.006
40T1E5,320,320,40,true,238,0,20,0.347638,33294,600.009
40T2E1,320,545,40,true,3206,0,82,1.64494,28907,600.003
40T2E2,320,537,40,true,3587,0,55,1.23953,28775,600.011
40T2E3,320,541,40,true,3360,0,85,1.71313,30243,600.014
40T2E4,320,543,40,true,3467,0,314,6.21686,30389,600.008
40T2E5,320,540,40,true,3312,0,87,1.72377,29387,600.019
40T4E1,320,1226,40,true,14196,0,72,1.95431,22739,600.02
40T4E2,320,1201,40,true,14102,0,63,1.84721,22545,600.004
40T4E3,320,1213,40,true,14336,0,75,2.29315,21871,600.019
40T4E4,320,1227,40,true,13966,0,74,2.01351,23210,600.003
40T4E5,320,1210,40,true,14700,0,90,2.39873,23701,600.018
40T6E1,320,1906,40,true,27962,0,74,2.39192,18692,600.006
40T6E2,320,1927,40,true,28800,0,80,2.63878,18917,600.021
40T6E3,320,1887,40,true,28303,0,75,2.49417,20806,600.02
40T6E4,320,1865,40,true,28185,0,115,3.54858,20545,600.008
40T6E5,320,1868,40,true,28156,0,6686,196.877,20552,600.02
