Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,374,61,17411,278.95,37442,600.002
40T1E2,320,320,40,true,362,62,1003,16.4436,36780,600.002
40T1E3,320,322,40,true,237,67,13399,219.81,36529,600.001
40T1E4,320,322,40,true,428,70,6747,110.731,36532,600.003
40T1E5,320,320,40,true,274,62,6316,100.615,37538,600.009
40T2E1,320,545,40,true,3245,278,27309,532.615,30753,600.011
40T2E2,320,537,40,true,3610,273,1361,26.5169,30582,600.001
40T2E3,320,541,40,true,3384,268,1311,25.3259,30687,600.009
40T2E4,320,543,40,true,3493,279,1472,28.5442,30388,600.009
40T2E5,320,540,40,true,3332,270,2198,42.2669,30958,600.005
40T4E1,320,1226,40,true,14199,947,3637,100.208,21647,600.018
40T4E2,320,1201,40,true,14103,921,5988,164.862,21806,600.015
40T4E3,320,1213,40,true,14349,935,4096,113.886,21527,600.018
40T4E4,320,1227,40,true,13967,944,4214,118.504,21267,600.007
40T4E5,320,1210,40,true,14706,935,5021,137.794,21844,600.008
40T6E1,320,1906,40,true,27969,1630,4877,173.766,16834,600.028
40T6E2,320,1927,40,true,28805,1647,9557,342.557,16594,600.032
40T6E3,320,1887,40,true,28306,1610,4341,157.205,16573,600.025
40T6E4,320,1865,40,true,28185,1589,5451,190.838,17034,600.026
40T6E5,320,1868,40,true,28157,1588,6643,235.199,16847,600.024
