Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,382,40,2205,98.3181,13509,600.043
40T1E2,320,320,40,true,343,39,11796,521.676,13566,600
40T1E3,320,322,40,true,245,42,7017,318.977,13197,600.04
40T1E4,320,322,40,true,409,41,9519,421.989,13533,600
40T1E5,320,320,40,true,275,40,3164,138.993,13947,600.012
40T2E1,320,545,40,true,3862,258,377,36.8389,6093,600.061
40T2E2,320,537,40,true,4216,254,2917,269.675,6472,600.054
40T2E3,320,541,40,true,4021,258,3481,304.188,6941,600.063
40T2E4,320,543,40,true,4113,258,3015,296.59,6097,600.045
40T2E5,320,540,40,true,3969,259,2546,245.588,6215,600.088
40T4E1,320,1226,40,true,17890,928,109,40.409,1586,600.343
40T4E2,320,1201,40,true,17802,907,33,11.4625,1649,600.182
40T4E3,320,1213,40,true,18084,920,980,365.586,1605,600.099
40T4E4,320,1227,40,true,17669,931,353,130.613,1604,600.197
40T4E5,320,1210,40,true,18371,911,829,308.008,1613,600.157
40T6E1,320,1906,40,true,32591,1581,636,532.688,716,600.187
40T6E2,320,1927,40,true,33525,1613,648,547.909,709,600.285
40T6E3,320,1887,40,true,32940,1577,123,98.7671,729,600.344
40T6E4,320,1865,40,true,32904,1547,545,363.684,915,600.219
40T6E5,320,1868,40,true,32716,1546,636,481.779,791,600.467
