Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,340,40,4,0.11202,21816,600.017
40T1E2,320,320,40,true,316,39,1,0.0288486,21773,600.015
40T1E3,320,322,40,true,178,42,2,0.0571444,21802,600.008
40T1E4,320,322,40,true,379,41,1,0.0291424,21772,600.017
40T1E5,320,320,40,true,238,40,1,0.0289376,21798,600.012
40T2E1,320,545,40,true,3206,260,35,1.60225,13175,600.033
40T2E2,320,537,40,true,3587,254,49,2.21098,13444,600.031
40T2E3,320,541,40,true,3360,259,42,1.88727,13393,600.002
40T2E4,320,543,40,true,3467,256,46,2.07213,13464,600.02
40T2E5,320,540,40,true,3312,256,134,6.07849,13256,600.042
40T4E1,320,1226,40,true,14196,932,130,12.6028,6201,600.072
40T4E2,320,1201,40,true,14102,906,106,10.1149,6290,600.032
40T4E3,320,1213,40,true,14336,921,120,11.474,6287,600.077
40T4E4,320,1227,40,true,13966,931,126,12.1731,6223,600.028
40T4E5,320,1210,40,true,14700,918,124,11.8097,6311,600.087
40T6E1,320,1906,40,true,27962,1592,164,24.524,4015,600.028
40T6E2,320,1927,40,true,28800,1613,182,27.7401,3938,600.079
40T6E3,320,1887,40,true,28303,1576,192,28.5599,4038,600.136
40T6E4,320,1865,40,true,28185,1553,160,23.5876,4072,600.127
40T6E5,320,1868,40,true,28157,1565,177,26.1037,4069,600.049
