Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,340,74,3,3.35967,525,600.299
40T1E2,320,320,40,true,316,74,1,1.11919,535,600.707
40T1E3,320,322,40,true,178,76,3,3.37164,529,601.012
40T1E4,320,322,40,true,379,79,1,1.08289,546,601.065
40T1E5,320,320,40,true,238,74,2,2.19923,539,600.737
40T2E1,320,545,40,true,3206,471,86,155.505,325,601.721
40T2E2,320,537,40,true,3587,456,84,151.031,325,600.945
40T2E3,320,541,40,true,3360,451,81,138.781,343,600.75
40T2E4,320,543,40,true,3467,464,131,245.061,318,600.063
40T2E5,320,540,40,true,3313,455,70,122.983,333,601.66
40T4E1,320,1226,40,true,14708,1447,127,586.963,130,600.678
40T4E2,320,1201,40,true,14525,1479,124,561.514,133,602.364
40T4E3,320,1213,40,true,14782,1450,131,601.888,131,601.888
40T4E4,320,1227,40,true,14466,1503,128,583.383,132,601.644
40T4E5,320,1210,40,true,15131,1471,130,593.064,132,602.198
40T6E1,320,1906,40,true,31914,2073,73,577.795,76,601.537
40T6E2,320,1927,40,true,33244,2031,74,603.37,74,603.37
40T6E3,320,1887,40,true,32379,2057,74,606.289,74,606.289
40T6E4,320,1865,40,true,32003,2069,78,601.382,78,601.382
40T6E5,320,1868,40,true,32035,2010,76,590.249,78,605.78
