Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,345,0,8913,204.365,26313,600.006
40T1E2,320,320,40,true,324,0,6737,152.825,26581,600.014
40T1E3,320,322,40,true,185,0,2520,57.6576,26524,600.007
40T1E4,320,322,40,true,382,0,1524,35.3336,26039,600.001
40T1E5,320,320,40,true,244,0,426,9.88486,26445,600.022
40T2E1,320,545,40,true,3216,0,10256,369.099,16645,600.011
40T2E2,320,537,40,true,3595,0,14120,501.545,16889,600.022
40T2E3,320,541,40,true,3365,0,12113,437.081,16623,600.024
40T2E4,320,543,40,true,3475,0,13870,506.765,16425,600.02
40T2E5,320,540,40,true,3317,0,14814,535.683,16591,600.026
40T4E1,320,1226,40,false,38.0289,0,9158,599.872,9160,600.005
40T4E2,320,1201,40,false,38.4849,0,4411,282.14,9397,600.029
40T4E3,320,1213,40,false,38.4588,0,9222,597.015,9268,600.028
40T4E4,320,1227,40,false,38.4888,0,21,1.61904,9154,600.007
40T4E5,320,1210,40,false,38.5078,0,6144,397.209,9269,600.025
40T6E1,320,1906,40,false,39,0,1426,139.042,6012,600.011
40T6E2,320,1927,40,false,39,0,1035,110.146,5911,600.079
40T6E3,320,1887,40,false,39,0,1192,121.407,5886,600.038
40T6E4,320,1865,40,false,39,0,1470,148.805,5958,600.094
40T6E5,320,1868,40,false,39,0,1051,108.269,6013,600.017
