Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
40T1E1,320,322,40,true,341,40,16580,348.427,28869,600.012
40T1E2,320,320,40,true,316,39,5044,103.404,29426,600
40T1E3,320,322,40,true,179,42,2274,46.9057,29234,600.017
40T1E4,320,322,40,true,379,41,6566,135.037,28989,600.007
40T1E5,320,320,40,true,238,40,3748,79.9223,25373,600.04
40T2E1,320,545,40,true,3234,260,12582,476.208,16265,600.021
40T2E2,320,537,40,true,3593,251,16842,548.932,18409,600.03
40T2E3,320,541,40,true,3370,252,12373,405.217,18304,600.017
40T2E4,320,543,40,true,3473,259,14415,476.584,18148,600.001
40T2E5,320,540,40,true,3351,255,16659,550.019,18175,600.001
40T4E1,320,1226,40,false,38.4938,621,2006,118.78,9284,600.027
40T4E2,320,1201,40,false,38.485,597,4411,286.9,9235,600.028
40T4E3,320,1213,40,false,38.4588,593,9222,587.311,9432,600.059
40T4E4,320,1227,40,false,38.4888,619,21,1.44858,9977,600.038
40T4E5,320,1210,40,false,38.508,618,6144,356.401,10327,600.022
40T6E1,320,1906,40,false,39,0,1174,101.099,7035,600.005
40T6E2,320,1927,40,false,39,0,1164,101.082,6962,600.039
40T6E3,320,1887,40,false,39,0,993,85.1136,7067,600.082
40T6E4,320,1865,40,false,39,0,1327,111.758,7183,600.052
40T6E5,320,1868,40,false,39,0,1067,90.494,7147,600.05
