Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
GE320V1E40T100C_1,320,323,40,true,1867,43,19496,313.419,37317,600.004
GE320V1E40T100C_10,320,328,40,true,2015,48,289,4.80501,37133,600.008
GE320V1E40T100C_2,320,332,40,true,2248,52,17874,287.458,37285,600.011
GE320V1E40T100C_3,320,328,40,true,1639,48,1507,24.4297,37109,600.004
GE320V1E40T100C_4,320,325,40,true,1712,45,1826,30.294,36163,600.002
GE320V1E40T100C_5,320,323,40,true,1985,43,745,12.2077,36695,600.01
GE320V1E40T100C_6,320,324,40,true,2256,44,9741,160.501,36369,600.002
GE320V1E40T100C_7,320,329,40,true,2259,49,345,5.54242,38054,600.001
GE320V1E40T100C_8,320,327,40,true,2083,47,3763,60.4144,37421,600.011
GE320V1E40T100C_9,320,330,40,true,2484,48,1336,21.83,35452,600.002
GE320V2E40T100C_1,320,661,40,true,10749,379,4000,144.118,16299,600.018
GE320V2E40T100C_10,320,654,40,true,10667,373,11727,428.174,16699,600.024
GE320V2E40T100C_2,320,670,40,true,11378,386,7953,354.572,13091,600.035
GE320V2E40T100C_3,320,666,40,true,11495,381,11013,411.648,16084,600.004
GE320V2E40T100C_4,320,688,40,true,11715,400,11423,584.476,11731,600.04
GE320V2E40T100C_5,320,654,40,true,11404,373,16750,546.029,18416,600.007
GE320V2E40T100C_6,320,660,40,true,11944,376,16819,527.181,19105,600.021
GE320V2E40T100C_7,320,656,40,true,11312,371,11890,401.763,17782,600.005
GE320V2E40T100C_8,320,691,40,true,10963,408,12424,521.24,14295,600.004
GE320V2E40T100C_9,320,645,40,true,11833,365,2861,77.1281,22135,600.019
GE320V4E40T100C_1,320,1253,40,true,34928,965,6770,497.287,8139,600.008
GE320V4E40T100C_10,320,1212,40,true,33864,924,4363,274.927,9502,600.028
GE320V4E40T100C_2,320,1254,40,true,34257,963,6784,486.334,8376,600.052
GE320V4E40T100C_3,320,1288,40,true,35456,995,3013,235.266,7633,600.048
GE320V4E40T100C_4,320,1270,40,true,34797,981,2311,176.003,7843,600.033
GE320V4E40T100C_5,320,1279,40,true,33633,988,3579,281.828,7643,600.048
GE320V4E40T100C_6,320,1231,40,true,33298,946,3386,238.112,8544,600.047
GE320V4E40T100C_7,320,1264,40,true,33784,976,2110,157.439,8024,600.035
GE320V4E40T100C_8,320,1222,40,true,34867,934,2048,127.999,9545,600.045
GE320V4E40T100C_9,320,1271,40,true,34551,979,1862,141.601,7893,600.036
