Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
GE320V1E40T100C_1,320,323,40,true,1875,50,1153,19.9032,34775,600.004
GE320V1E40T100C_10,320,328,40,true,2044,58,751,12.8532,35202,600.009
GE320V1E40T100C_2,320,332,40,true,2301,63,1061,18.2505,34914,600.008
GE320V1E40T100C_3,320,328,40,true,1705,61,660,11.3889,34972,600.014
GE320V1E40T100C_4,320,325,40,true,1865,58,3146,53.6254,35207,600.013
GE320V1E40T100C_5,320,323,40,true,2072,47,34853,593.225,35251,600.011
GE320V1E40T100C_6,320,324,40,true,2278,55,34546,587.749,35267,600.003
GE320V1E40T100C_7,320,329,40,true,2271,61,1973,34.8103,34033,600.014
GE320V1E40T100C_8,320,327,40,true,2133,57,724,12.509,34901,600.001
GE320V1E40T100C_9,320,330,40,true,2529,59,1116,19.1729,35255,600.004
GE320V2E40T100C_1,320,661,40,true,10712,384,3492,76.9071,27083,600.011
GE320V2E40T100C_10,320,654,40,true,10669,383,18518,403.316,27482,600.021
GE320V2E40T100C_2,320,670,40,true,11471,394,3774,81.1293,27608,600.019
GE320V2E40T100C_3,320,666,40,true,11468,387,8081,179.192,26971,600.014
GE320V2E40T100C_4,320,688,40,true,11743,414,4927,108.153,27148,600.02
GE320V2E40T100C_5,320,654,40,true,11490,383,2405,51.2739,27799,600.012
GE320V2E40T100C_6,320,660,40,true,11966,388,2447,52.6428,27619,600.01
GE320V2E40T100C_7,320,656,40,true,11444,382,9496,203.807,27792,600.002
GE320V2E40T100C_8,320,691,40,true,11061,416,6576,145.393,26983,600.021
GE320V2E40T100C_9,320,645,40,true,11791,372,5137,110.826,27663,600.007
GE320V4E40T100C_1,320,1253,40,true,34907,972,6005,168.603,21309,600.002
GE320V4E40T100C_10,320,1212,40,true,33953,934,5532,151.981,21770,600.017
GE320V4E40T100C_2,320,1254,40,true,34211,969,6029,168.093,21330,600.008
GE320V4E40T100C_3,320,1288,40,true,35434,1010,4368,122.571,21147,600.023
GE320V4E40T100C_4,320,1270,40,true,34794,991,6331,178.739,21080,600.001
GE320V4E40T100C_5,320,1279,40,true,33578,999,5658,158.656,21188,600.018
GE320V4E40T100C_6,320,1231,40,true,33276,951,6622,184.276,21477,600.006
GE320V4E40T100C_7,320,1264,40,true,33776,986,11829,334.47,21205,600.01
GE320V4E40T100C_8,320,1222,40,true,34898,947,4219,116.212,21684,600.022
GE320V4E40T100C_9,320,1271,40,true,34441,986,5349,151.873,21082,600.017
