Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
GE320V1E40T100C_1,320,323,40,true,1867,43,80,3.52421,13892,600.002
GE320V1E40T100C_10,320,328,40,true,2009,48,1,0.0489785,13439,600.003
GE320V1E40T100C_2,320,332,40,true,2246,52,2194,98.2008,13507,600.001
GE320V1E40T100C_3,320,328,40,true,1635,48,1474,65.569,13493,600.019
GE320V1E40T100C_4,320,325,40,true,1704,45,8618,377.85,13684,600.035
GE320V1E40T100C_5,320,323,40,true,1984,43,1490,63.7881,14062,600.021
GE320V1E40T100C_6,320,324,40,true,2256,44,1359,59.2937,13791,600.036
GE320V1E40T100C_7,320,329,40,true,2258,49,2495,113.549,13209,600.019
GE320V1E40T100C_8,320,327,40,true,2070,47,12507,559.87,13404,600.015
GE320V1E40T100C_9,320,330,40,true,2481,48,14,0.620809,13453,600.004
GE320V2E40T100C_1,320,661,40,true,14540,379,2240,291.008,4624,600.005
GE320V2E40T100C_10,320,654,40,true,14359,370,676,87.2485,4657,600.054
GE320V2E40T100C_2,320,670,40,true,14800,384,3857,513.383,4509,600.11
GE320V2E40T100C_3,320,666,40,true,15159,381,2809,374.69,4499,600.04
GE320V2E40T100C_4,320,688,40,true,15176,402,1322,187.306,4228,600.083
GE320V2E40T100C_5,320,654,40,true,14792,373,4400,561.149,4705,600.038
GE320V2E40T100C_6,320,660,40,true,15103,373,3448,450.439,4590,600.066
GE320V2E40T100C_7,320,656,40,true,14270,370,3595,464.086,4646,600.083
GE320V2E40T100C_8,320,691,40,true,14907,406,794,111.645,4253,600.083
GE320V2E40T100C_9,320,645,40,true,15048,363,3317,415.708,4786,600.04
GE320V4E40T100C_1,320,1253,40,true,41895,956,1485,572.065,1558,600.273
GE320V4E40T100C_10,320,1212,40,true,40733,920,1357,481.854,1689,600.044
GE320V4E40T100C_2,320,1254,40,true,41103,967,776,302.354,1543,600.322
GE320V4E40T100C_3,320,1288,40,true,41953,991,674,274.383,1477,600.246
GE320V4E40T100C_4,320,1270,40,true,41947,977,536,210.714,1521,600.185
GE320V4E40T100C_5,320,1279,40,true,40518,979,1248,497.687,1504,600.034
GE320V4E40T100C_6,320,1231,40,true,39626,941,1027,378.197,1630,600.079
GE320V4E40T100C_7,320,1264,40,true,40693,973,990,381.224,1557,600.165
GE320V4E40T100C_8,320,1222,40,true,41428,930,585,194.819,1804,600.042
GE320V4E40T100C_9,320,1271,40,true,41132,979,422,159.496,1567,600.249
