Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
GE320V1E40T100C_1,320,323,40,true,1867,43,1528,31.0419,29726,600.008
GE320V1E40T100C_10,320,328,40,true,2009,48,151,3.26198,29350,600.008
GE320V1E40T100C_2,320,332,40,true,2246,52,4729,96.8827,29331,600.017
GE320V1E40T100C_3,320,328,40,true,1633,48,961,19.8544,29406,600.009
GE320V1E40T100C_4,320,325,40,true,1702,45,3028,61.7494,29543,600.016
GE320V1E40T100C_5,320,323,40,true,1984,43,745,15.3612,29441,600.007
GE320V1E40T100C_6,320,324,40,true,2256,44,198,4.17135,29816,600.009
GE320V1E40T100C_7,320,329,40,true,2258,49,1652,34.0307,29423,600.001
GE320V1E40T100C_8,320,327,40,true,2070,47,156,3.38045,29222,600.019
GE320V1E40T100C_9,320,330,40,true,2481,48,7248,147.449,29480,600.012
GE320V2E40T100C_1,320,661,40,false,645506,202,15180,576.113,15812,600.034
GE320V2E40T100C_10,320,654,40,false,447092,263,14840,567.22,15701,600.019
GE320V2E40T100C_2,320,670,40,false,556681,224,14985,581.242,15469,600.025
GE320V2E40T100C_3,320,666,40,false,601630,223,15432,589.574,15706,600.015
GE320V2E40T100C_4,320,688,40,false,700099,174,14247,557.626,15332,600.005
GE320V2E40T100C_5,320,654,40,false,302960,312,15068,577.43,15658,600.007
GE320V2E40T100C_6,320,660,40,false,809904,130,12888,485.429,15939,600.034
GE320V2E40T100C_7,320,656,40,false,593829,221,15548,591.451,15773,600.005
GE320V2E40T100C_8,320,691,40,false,724903,168,12288,478.075,15420,600.039
GE320V2E40T100C_9,320,645,40,false,522144,234,14514,540.12,16120,600.022
GE320V4E40T100C_1,320,1253,40,false,2.14223e+06,639,6211,370.65,10063,600.048
GE320V4E40T100C_10,320,1212,40,false,2.08525e+06,639,4616,265.982,10398,600.01
GE320V4E40T100C_2,320,1254,40,false,2.10234e+06,668,4391,260.514,10127,600.02
GE320V4E40T100C_3,320,1288,40,false,2.13465e+06,685,6342,385.272,9875,600.05
GE320V4E40T100C_4,320,1270,40,false,2.12116e+06,650,9412,568.089,9941,600.003
GE320V4E40T100C_5,320,1279,40,false,2.07871e+06,656,401,24.9196,9940,600.01
GE320V4E40T100C_6,320,1231,40,false,2.04515e+06,618,707,42.0404,10187,600.046
GE320V4E40T100C_7,320,1264,40,false,2.07698e+06,632,3001,179.593,10046,600.014
GE320V4E40T100C_8,320,1222,40,false,2.13939e+06,611,4035,234.808,10301,600.053
GE320V4E40T100C_9,320,1271,40,false,2.07994e+06,624,6614,400.938,9923,600.032
