Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.636825,1177,600.035
20T1E2,320,321,20,true,50,0,1,0.541902,1119,600.435
20T1E3,320,320,20,true,61,0,1,0.549203,1086,600.398
20T1E4,320,321,20,true,23,0,2,1.08573,1128,600.521
20T1E5,320,320,20,true,59,0,1,0.523938,1117,600.482
20T2E1,320,650,20,true,3053,0,122,162.258,451,600.155
20T2E2,320,652,20,true,2915,0,132,182.899,433,601.142
20T2E3,320,648,20,true,2927,0,124,166.153,446,600.66
20T2E4,320,661,20,true,2593,0,135,187.051,430,600.077
20T2E5,320,662,20,true,2735,0,147,207.674,425,600.641
20T4E1,320,1390,20,true,14088,0,203,598.583,204,601.51
20T4E2,320,1439,20,true,15101,0,197,602.26,197,602.26
20T4E3,320,1392,20,true,14325,0,199,597.964,200,600.952
20T4E4,320,1460,20,true,15238,0,185,591.18,188,600.784
20T4E5,320,1467,20,true,14634,0,184,580.169,191,602.334
20T6E1,320,2323,20,true,31473,0,105,573.798,110,601.001
20T6E2,320,2223,20,true,30530,0,107,563.976,114,600.968
20T6E3,320,2125,20,true,28992,0,120,597.314,121,602.308
20T6E4,320,2264,20,true,31226,0,113,601.619,113,601.619
20T6E5,320,2129,20,true,30543,0,117,581.305,121,601.199
40T1E1,320,322,40,true,340,0,5,5.43699,541,600.41
40T1E2,320,320,40,true,316,0,1,1.0629,555,600.722
40T1E3,320,322,40,true,178,0,10,10.8712,538,600.062
40T1E4,320,322,40,true,379,0,2,2.04038,576,600.206
40T1E5,320,320,40,true,238,0,7,7.57072,552,600.326
40T2E1,320,545,40,true,3206,0,74,128.249,347,601.72
40T2E2,320,537,40,true,3587,0,90,161.037,330,600.03
40T2E3,320,541,40,true,3360,0,67,113.381,356,601.535
40T2E4,320,543,40,true,3468,0,102,186.231,328,600.465
40T2E5,320,540,40,true,3313,0,83,145.983,336,601.522
40T4E1,320,1226,40,true,14475,0,122,567.627,129,600.136
40T4E2,320,1201,40,true,14284,0,128,575.982,134,602.961
40T4E3,320,1213,40,true,14659,0,130,587.812,133,601.373
40T4E4,320,1227,40,true,14195,0,127,578.525,132,601.413
40T4E5,320,1210,40,true,14927,0,127,588.938,130,602.809
40T6E1,320,1906,40,true,30428,0,75,601.726,75,601.726
40T6E2,320,1927,40,true,31664,0,73,596.065,74,604.25
40T6E3,320,1887,40,true,30625,0,72,575.142,76,607.524
40T6E4,320,1865,40,true,30486,0,75,584.028,78,607.501
40T6E5,320,1868,40,true,30629,0,73,574.871,77,606.43
80T1E1,320,322,80,true,969,0,20,45.3846,265,601.632
80T1E2,320,322,80,true,994,0,18,39.7949,272,601.532
80T1E3,320,320,80,true,1183,0,18,39.839,268,601.138
80T1E4,320,322,80,true,692,0,22,48.8495,270,600.478
80T1E5,320,320,80,true,960,0,16,35.379,267,602.125
80T2E1,320,690,80,true,8074,0,69,319.389,130,601.571
80T2E2,320,694,80,true,8353,0,79,397.213,120,601.986
80T2E3,320,689,80,true,8121,0,61,279.146,131,601.097
80T2E4,320,696,80,true,8084,0,80,363.148,131,603.883
80T2E5,320,690,80,true,7805,0,53,223.261,142,600.03
80T4E1,320,1344,80,true,21443,0,65,606.613,65,606.613
80T4E2,320,1338,80,true,21207,0,61,575.58,64,603.76
80T4E3,320,1335,80,true,20988,0,62,568.86,66,605.946
80T4E4,320,1339,80,true,20327,0,62,576.147,65,603.995
80T4E5,320,1334,80,true,20885,0,64,607.834,64,607.834
80T6E1,320,1936,80,true,37106,0,35,532.064,40,607.593
80T6E2,320,1938,80,true,35921,0,38,581.248,40,611.848
80T6E3,320,1919,80,true,36041,0,39,583.902,41,613.831
80T6E4,320,1961,80,true,37891,0,40,607.798,40,607.798
80T6E5,320,1941,80,true,36048,0,40,612.267,40,612.267
