Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,10,0.017439,40176,60.0013
20T1E2,320,321,20,true,50,0,17,0.0295491,38968,60.0009
20T1E3,320,320,20,true,61,0,19,0.0317582,40534,60.0014
20T1E4,320,321,20,true,23,0,27,0.0433456,41407,60.0003
20T1E5,320,320,20,true,59,0,47,0.0708997,42016,60.0004
20T2E1,320,650,20,true,3053,0,1534,3.01021,30858,60.001
20T2E2,320,652,20,true,2916,0,162,0.322441,31101,60.0014
20T2E3,320,648,20,true,2927,0,104,0.21181,29666,60.0013
20T2E4,320,661,20,true,2593,0,255,0.504942,30403,60.0005
20T2E5,320,662,20,true,2735,0,111,0.224003,31719,60.0019
20T4E1,320,1390,20,true,14020,0,503,1.27381,24171,60.0015
20T4E2,320,1439,20,true,15014,0,4032,10.0573,24304,60.0015
20T4E3,320,1392,20,true,14235,0,875,2.17586,25176,60.0018
20T4E4,320,1460,20,true,15056,0,410,1.06172,23894,60.002
20T4E5,320,1467,20,true,14489,0,1304,3.26967,24791,60.0013
20T6E1,320,2323,20,true,29639,0,1483,4.54454,19880,60.0012
20T6E2,320,2223,20,true,28764,0,979,2.98061,19467,60.0024
20T6E3,320,2125,20,true,27616,0,1422,4.19714,20513,60.0029
20T6E4,320,2264,20,true,29283,0,2218,6.76548,19736,60.0022
20T6E5,320,2129,20,true,28978,0,2349,6.76015,20358,60.0009
40T1E1,320,322,40,true,340,0,104,0.160766,40185,60.0011
40T1E2,320,320,40,true,316,0,66,0.102647,40901,60.0012
40T1E3,320,322,40,true,178,0,50,0.0785375,39831,60.0009
40T1E4,320,322,40,true,379,0,172,0.25682,41360,60.0008
40T1E5,320,320,40,true,238,0,152,0.229793,38708,60.0014
40T2E1,320,545,40,true,3206,0,18946,31.5861,35573,60
40T2E2,320,537,40,true,3587,0,1216,2.10131,35325,60.0017
40T2E3,320,541,40,true,3360,0,1059,1.81852,36025,60.0006
40T2E4,320,543,40,true,3467,0,2108,3.6567,34565,60.0002
40T2E5,320,540,40,true,3312,0,1605,2.7555,35700,60.0006
40T4E1,320,1226,40,true,14196,0,1521,3.48496,26100,60.0001
40T4E2,320,1201,40,true,14102,0,3894,9.09674,26029,60.0012
40T4E3,320,1213,40,true,14336,0,237,0.556893,26530,60.0001
40T4E4,320,1227,40,true,13966,0,942,2.13521,27518,60.0007
40T4E5,320,1210,40,true,14700,0,4276,9.8245,26035,60.0004
40T6E1,320,1906,40,true,27968,0,613,1.71209,22191,60.0015
40T6E2,320,1927,40,true,28801,0,18461,52.0599,21302,60.0004
40T6E3,320,1887,40,true,28303,0,745,2.03544,22813,60.0022
40T6E4,320,1865,40,true,28190,0,871,2.36875,22981,60.0015
40T6E5,320,1868,40,true,28156,0,1458,3.97727,22589,60.0015
80T1E1,320,322,80,true,969,0,293,0.449977,39580,60.0015
80T1E2,320,322,80,true,994,0,1168,1.82481,38367,60.0002
80T1E3,320,320,80,true,1183,0,1939,2.93461,40520,60.0011
80T1E4,320,322,80,true,692,0,365,0.553901,39182,60.0006
80T1E5,320,320,80,true,960,0,975,1.51748,40115,60
80T2E1,320,690,80,true,8074,0,9352,16.4349,34230,60.0004
80T2E2,320,694,80,true,8353,0,3029,5.3814,34411,60.0002
80T2E3,320,689,80,true,8121,0,2490,4.46451,34089,60.0009
80T2E4,320,696,80,true,8084,0,2601,4.56199,34038,60.0013
80T2E5,320,690,80,true,7806,0,3934,6.90544,34127,60.0016
80T4E1,320,1344,80,true,20646,0,1791,4.12486,26467,60.0017
80T4E2,320,1338,80,true,20400,0,8395,19.4566,26209,60.0006
80T4E3,320,1335,80,true,20235,0,1245,2.88848,26699,60.0019
80T4E4,320,1339,80,true,19621,0,2257,5.15773,25531,60.0004
80T4E5,320,1334,80,true,20091,0,1099,2.48282,27290,60
80T6E1,320,1936,80,true,34097,0,3703,9.99037,22140,60.0016
80T6E2,320,1938,80,true,33138,0,1846,5.03066,21867,60.0017
80T6E3,320,1919,80,true,33583,0,5418,14.198,22915,60.001
80T6E4,320,1961,80,true,34868,0,2093,5.57589,22967,60.0024
80T6E5,320,1941,80,true,33343,0,2898,7.73724,22090,60.0007
