Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,20,1,0.00274658,2332,6.00156
20T1E2,320,321,20,true,50,19,1,0.00298188,2335,6.00179
20T1E3,320,320,20,true,61,19,1,0.00287403,2358,6.00095
20T1E4,320,321,20,true,23,21,4,0.0118532,2353,6.00073
20T1E5,320,320,20,true,59,20,1,0.00282959,2356,6.00234
20T2E1,320,650,20,true,3053,325,450,2.2416,1213,6.00212
20T2E2,320,652,20,true,2915,336,53,0.274815,1176,6.00146
20T2E3,320,648,20,true,2927,324,144,0.747051,1174,6.00315
20T2E4,320,661,20,true,2593,335,88,0.459626,1156,6.00151
20T2E5,320,662,20,true,2735,349,64,0.337856,1160,6.00195
20T4E1,320,1390,20,true,14024,1032,511,5.48092,560,6.00534
20T4E2,320,1439,20,true,15020,1079,439,4.85652,543,6.00182
20T4E3,320,1392,20,true,14237,1009,558,5.99343,559,6.00408
20T4E4,320,1460,20,true,15060,1088,464,5.1872,537,6.00208
20T4E5,320,1467,20,true,14503,1112,430,4.86148,531,6.00808
20T6E1,320,2323,20,true,29657,1909,291,5.25197,333,6.00817
20T6E2,320,2223,20,true,28794,1823,338,5.8603,347,6.01571
20T6E3,320,2125,20,true,27641,1757,353,5.91847,358,6.00154
20T6E4,320,2264,20,true,29314,1859,305,5.36349,342,6.01585
20T6E5,320,2129,20,true,29009,1717,356,5.90013,363,6.01623
40T1E1,320,322,40,true,340,40,10,0.02922,2379,6.00107
40T1E2,320,320,40,true,316,39,2,0.00652491,2360,6.00231
40T1E3,320,322,40,true,178,42,11,0.0312229,2369,6.00101
40T1E4,320,322,40,true,379,41,1,0.0028646,2374,6.00217
40T1E5,320,320,40,true,238,40,6,0.0213393,2375,6.00172
40T2E1,320,545,40,true,3206,258,75,0.333263,1371,6.00037
40T2E2,320,537,40,true,3587,254,37,0.163151,1387,6.00214
40T2E3,320,541,40,true,3360,258,365,1.55368,1418,6.00413
40T2E4,320,543,40,true,3467,259,109,0.469764,1414,6.00174
40T2E5,320,540,40,true,3313,255,55,0.240268,1421,6.00254
40T4E1,320,1226,40,true,14200,935,484,4.60615,632,6.0093
40T4E2,320,1201,40,true,14107,909,420,3.91689,644,6.00425
40T4E3,320,1213,40,true,14339,916,311,2.93015,639,6.00524
40T4E4,320,1227,40,true,13966,931,513,4.86249,634,6.00586
40T4E5,320,1210,40,true,14701,914,474,4.48757,637,6.00849
40T6E1,320,1906,40,true,27985,1590,366,5.41808,406,6.00785
40T6E2,320,1927,40,true,28840,1612,384,5.80618,397,6.00176
40T6E3,320,1887,40,true,28328,1574,294,4.35294,406,6.00817
40T6E4,320,1865,40,true,28197,1562,398,5.80826,412,6.01472
40T6E5,320,1868,40,true,28183,1557,406,5.95838,409,6.00273
80T1E1,320,322,80,true,969,81,20,0.0536672,2389,6.00228
80T1E2,320,322,80,true,994,81,18,0.0483199,2378,6.00234
80T1E3,320,320,80,true,1183,80,17,0.0460355,2405,6.00146
80T1E4,320,322,80,true,692,81,16,0.0427742,2403,6.0016
80T1E5,320,320,80,true,960,80,16,0.0467052,2390,6.00087
80T2E1,320,690,80,true,8074,448,60,0.331211,1103,6.00145
80T2E2,320,694,80,true,8353,452,51,0.284307,1096,6.00155
80T2E3,320,689,80,true,8121,446,45,0.244339,1129,6.00482
80T2E4,320,696,80,true,8084,455,80,0.447601,1082,6.00332
80T2E5,320,690,80,true,7805,449,33,0.184881,1103,6.00497
80T4E1,320,1344,80,true,20646,1095,509,5.35665,571,6.00858
80T4E2,320,1338,80,true,20400,1092,220,2.3113,575,6.00167
80T4E3,320,1335,80,true,20235,1088,500,5.2437,573,6.00433
80T4E4,320,1339,80,true,19621,1090,392,4.12657,571,6.00839
80T4E5,320,1334,80,true,20091,1087,350,3.66429,574,6.00155
80T6E1,320,1936,80,true,34114,1685,389,5.96924,392,6.01515
80T6E2,320,1938,80,true,33148,1691,368,5.64182,392,6.00857
80T6E3,320,1919,80,true,33588,1671,273,4.20133,392,6.01472
80T6E4,320,1961,80,true,34882,1709,372,5.77736,387,6.01178
80T6E5,320,1941,80,true,33349,1692,317,4.85366,392,6.00294
