Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.0669741,976,60.0267
20T1E2,320,321,20,true,50,0,1,0.0552895,1024,60.0522
20T1E3,320,320,20,true,61,0,1,0.05352,1015,60.0156
20T1E4,320,321,20,true,23,0,1,0.0589831,1018,60.0451
20T1E5,320,320,20,true,59,0,1,0.0647259,973,60.0013
20T2E1,320,650,20,true,3055,0,200,30.7344,386,60.0625
20T2E2,320,652,20,true,2918,0,252,38.4206,393,60.0877
20T2E3,320,648,20,true,2928,0,379,55.6954,408,60.0451
20T2E4,320,661,20,true,2601,0,381,59.7097,383,60.0084
20T2E5,320,662,20,true,2737,0,269,42.0025,386,60.0117
20T4E1,320,1390,20,true,14913,0,188,59.7906,189,60.1039
20T4E2,320,1439,20,true,15957,0,173,58.9479,176,60.0042
20T4E3,320,1392,20,true,15243,0,183,59.4659,185,60.0743
20T4E4,320,1460,20,true,16365,0,168,57.8949,175,60.2918
20T4E5,320,1467,20,true,15495,0,165,58.3965,170,60.0625
20T6E1,320,2323,20,true,33375,0,100,59.1693,101,60.241
20T6E2,320,2223,20,true,32121,0,108,58.9319,110,60.0824
20T6E3,320,2125,20,true,31158,0,118,60.0511,118,60.0511
20T6E4,320,2264,20,true,33215,0,107,60.182,107,60.182
20T6E5,320,2129,20,true,32802,0,112,59.3739,114,60.3858
40T1E1,320,322,40,true,340,0,2,0.299479,481,60.066
40T1E2,320,320,40,true,316,0,1,0.119159,485,60.086
40T1E3,320,322,40,true,178,0,9,1.13332,456,60.0787
40T1E4,320,322,40,true,379,0,2,0.256088,482,60.094
40T1E5,320,320,40,true,238,0,4,0.438429,504,60.022
40T2E1,320,545,40,true,3207,0,131,26.7713,293,60.0127
40T2E2,320,537,40,true,3588,0,106,21.7322,293,60.165
40T2E3,320,541,40,true,3362,0,71,13.4956,310,60.2417
40T2E4,320,543,40,true,3469,0,108,22.1625,289,60.0458
40T2E5,320,540,40,true,3314,0,58,11.7856,292,60.0743
40T4E1,320,1226,40,true,15170,0,116,59.9938,117,60.4937
40T4E2,320,1201,40,true,14872,0,124,59.9368,125,60.403
40T4E3,320,1213,40,true,15284,0,118,59.4924,120,60.4629
40T4E4,320,1227,40,true,14737,0,124,60.3023,124,60.3023
40T4E5,320,1210,40,true,15761,0,123,59.5375,125,60.4589
40T6E1,320,1906,40,true,32254,0,70,60.8018,70,60.8018
40T6E2,320,1927,40,true,32769,0,69,59.6111,70,60.4636
40T6E3,320,1887,40,true,32473,0,70,61.0284,70,61.0284
40T6E4,320,1865,40,true,32231,0,72,60.128,72,60.1281
40T6E5,320,1868,40,true,32143,0,72,60.8628,72,60.8628
80T1E1,320,322,80,true,969,0,15,3.94662,233,60.0938
80T1E2,320,322,80,true,994,0,20,5.11988,232,60.0751
80T1E3,320,320,80,true,1183,0,15,3.68292,237,60.2411
80T1E4,320,322,80,true,692,0,18,5.47058,234,60.1447
80T1E5,320,320,80,true,960,0,12,2.83322,256,60.1782
80T2E1,320,690,80,true,8077,0,71,30.8189,139,60.1521
80T2E2,320,694,80,true,8354,0,74,34.4043,128,60.3862
80T2E3,320,689,80,true,8123,0,44,21.1943,124,60.095
80T2E4,320,696,80,true,8085,0,111,50.2242,133,60.3213
80T2E5,320,690,80,true,7805,0,102,46.1537,133,60.313
80T4E1,320,1344,80,true,21644,0,64,60.6988,64,60.6988
80T4E2,320,1338,80,true,21232,0,64,60.9429,64,60.9429
80T4E3,320,1335,80,true,21153,0,68,59.9526,69,60.8293
80T4E4,320,1339,80,true,20347,0,64,58.81,66,60.6668
80T4E5,320,1334,80,true,21059,0,65,58.8715,67,60.7074
80T6E1,320,1936,80,true,38496,0,40,60.0249,40,60.0249
80T6E2,320,1938,80,true,37431,0,41,61.4115,41,61.4115
80T6E3,320,1919,80,true,37644,0,38,58.1391,40,61.1859
80T6E4,320,1961,80,true,39449,0,40,60.9354,40,60.9354
80T6E5,320,1941,80,true,37704,0,40,60.4049,40,60.4049
