Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,164,20,8906,20.3758,28871,60.0003
20T1E2,320,321,20,true,51,21,11553,23.2609,32536,60.0011
20T1E3,320,320,20,true,62,19,8554,14.8688,34940,60.0002
20T1E4,320,321,20,true,23,20,16364,28.6379,34431,60.0003
20T1E5,320,320,20,true,59,20,11989,20.8216,34767,60.0002
20T2E1,320,650,20,false,14.167,116,12394,42.9383,17318,60.0028
20T2E2,320,652,20,false,16.1119,69,12315,41.1856,17884,60.0004
20T2E3,320,648,20,false,17.0737,53,17575,58.6523,17981,60.0025
20T2E4,320,661,20,false,15.148,99,15005,52.2553,17202,60.0017
20T2E5,320,662,20,false,16.1211,72,17293,59.6734,17388,60.0017
20T4E1,320,1390,20,false,19,1,6463,40.1298,9669,60.0007
20T4E2,320,1439,20,false,19,1,9347,59.597,9411,60.0034
20T4E3,320,1392,20,false,19,0,6701,41.3129,9766,60.0058
20T4E4,320,1460,20,false,19,0,6927,44.5143,9356,60.0048
20T4E5,320,1467,20,false,19.0002,4,9063,59.7724,9098,60.0017
20T6E1,320,2323,20,false,19.0009,28,6195,59.9809,6197,60.0003
20T6E2,320,2223,20,false,19.0009,28,6306,59.6331,6346,60.0081
20T6E3,320,2125,20,false,19.0009,18,6114,55.1404,6656,60.0078
20T6E4,320,2264,20,false,19.0007,22,6322,59.984,6324,60.0028
20T6E5,320,2129,20,false,19.0006,15,6467,58.1208,6676,60.0057
40T1E1,320,322,40,true,341,40,5353,9.7406,33141,60.0007
40T1E2,320,320,40,true,316,39,13210,23.5234,33782,60.0008
40T1E3,320,322,40,true,180,41,23341,41.8599,33406,60.001
40T1E4,320,322,40,true,379,41,29629,53.5091,33262,60.0007
40T1E5,320,320,40,true,243,40,9455,16.8349,33747,60.0008
40T2E1,320,545,40,false,24.2561,146,19164,57.4364,20026,60.0024
40T2E2,320,537,40,false,19.3213,183,20166,59.8127,20230,60.0005
40T2E3,320,541,40,true,3718,253,18487,55.3512,20032,60.0006
40T2E4,320,543,40,false,23.263,156,18704,55.1965,20298,60.002
40T2E5,320,540,40,false,18.3169,187,17268,51.6611,20022,60.0001
40T4E1,320,1226,40,false,38.0302,75,10712,59.989,10714,60.0003
40T4E2,320,1201,40,false,39,0,5120,28.1155,10941,60.0051
40T4E3,320,1213,40,false,38.5183,621,8485,46.7424,10876,60.0014
40T4E4,320,1227,40,false,39,0,9445,52.5629,10786,60.0028
40T4E5,320,1210,40,false,39,0,9239,50.8351,10914,60.0032
40T6E1,320,1906,40,false,39.0004,3,7065,57.9084,7322,60.0081
40T6E2,320,1927,40,false,39.0002,8,7138,59.5563,7192,60.0027
40T6E3,320,1887,40,false,39.0003,9,7334,59.7663,7363,60.0007
40T6E4,320,1865,40,false,39.0003,7,7276,58.5204,7461,60.0014
40T6E5,320,1868,40,false,39.0003,5,6667,53.8439,7432,60.0078
80T1E1,320,322,80,true,980,81,21893,41.2002,31842,60.0011
80T1E2,320,322,80,true,995,81,28562,53.354,32116,60.0004
80T1E3,320,320,80,true,1192,80,17710,33.0942,32299,60.0004
80T1E4,320,322,80,true,693,81,31017,58.9024,31593,60.0017
80T1E5,320,320,80,true,971,80,31662,58.8525,32283,60.0012
80T2E1,320,690,80,false,65.1829,122,13668,49.343,16618,60.0005
80T2E2,320,694,80,false,66.1661,122,13818,50.0909,16590,60.0029
80T2E3,320,689,80,false,64.1829,134,12562,44.919,16777,60.0006
80T2E4,320,696,80,false,60.2337,173,15966,58.7364,16306,60.0001
80T2E5,320,690,80,false,61.2177,172,11914,43.355,16497,60.0023
80T4E1,320,1344,80,false,78.0128,21,8536,51.8723,9897,60.0036
80T4E2,320,1338,80,false,78.015,21,9766,59.7346,9810,60.0016
80T4E3,320,1335,80,false,78.0129,19,9254,55.7254,9969,60.0019
80T4E4,320,1339,80,false,78.0166,25,7630,47.0879,9728,60.004
80T4E5,320,1334,80,false,78.0123,17,7032,42.1456,10013,60.0039
80T6E1,320,1936,80,false,78.5107,996,1540,12.8739,7212,60.0036
80T6E2,320,1938,80,false,79.0005,9,7205,59.9627,7210,60.0036
80T6E3,320,1919,80,false,79.0008,9,7285,59.9127,7296,60.0023
80T6E4,320,1961,80,false,79.0003,7,7118,59.4528,7184,60.0024
80T6E5,320,1941,80,false,78.5037,993,249,2.17583,7157,60.0063
