Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.688033,1098,600.334
20T1E2,320,321,20,true,50,0,1,0.69856,1097,600.504
20T1E3,320,320,20,true,61,0,1,0.712571,1066,600.26
20T1E4,320,321,20,true,23,0,1,0.657629,1103,600.326
20T1E5,320,320,20,true,59,0,1,0.674733,1084,600.158
20T2E1,320,650,20,true,3053,0,117,164.764,426,601.24
20T2E2,320,652,20,true,2915,0,106,150.932,421,600.092
20T2E3,320,648,20,true,2927,0,90,128.362,420,600.927
20T2E4,320,661,20,true,2593,0,101,148.961,407,600.688
20T2E5,320,662,20,true,2735,0,97,142.441,409,600.375
20T4E1,320,1390,20,true,14032,0,197,596.568,199,602.605
20T4E2,320,1439,20,true,15043,0,187,582.467,193,601.201
20T4E3,320,1392,20,true,14269,0,193,586.311,198,601.496
20T4E4,320,1460,20,true,15117,0,187,600.203,187,600.203
20T4E5,320,1467,20,true,14522,0,186,602.018,186,602.018
20T6E2,320,2223,20,true,29546,0,113,591.952,115,602.399
20T6E3,320,2125,20,true,28321,0,123,603.489,123,603.489
20T6E4,320,2264,20,true,30193,0,107,575.128,112,602.069
20T6E5,320,2129,20,true,29780,0,117,584.379,121,604.327
40T1E1,320,322,40,true,340,0,1,1.1536,516,600.035
40T1E2,320,320,40,true,316,0,1,1.10413,543,600.156
40T1E3,320,322,40,true,178,0,1,1.1365,516,600.597
40T1E4,320,322,40,true,379,0,1,1.09475,542,600.684
40T1E5,320,320,40,true,238,0,1,1.10434,538,601.027
40T2E1,320,545,40,true,3206,0,58,108.992,316,601.227
40T2E2,320,537,40,true,3587,0,63,115.654,326,601.523
40T2E3,320,541,40,true,3360,0,78,145.592,322,601.529
40T2E4,320,543,40,true,3467,0,61,112.285,304,601.28
40T2E5,320,540,40,true,3312,0,65,120.499,316,601.864
40T4E1,320,1226,40,true,14293,0,123,582.237,127,601.207
40T4E2,320,1201,40,true,14155,0,128,604.438,128,604.438
40T4E3,320,1213,40,true,14404,0,120,561.304,129,603.564
40T4E4,320,1227,40,true,14035,0,125,591.45,127,600.907
40T4E5,320,1210,40,true,14771,0,130,602.765,130,602.765
40T6E1,320,1906,40,true,28846,0,75,607.301,75,607.301
40T6E2,320,1927,40,true,29677,0,72,601.108,72,601.108
40T6E3,320,1887,40,true,29024,0,72,576.703,75,600.769
40T6E4,320,1865,40,true,29012,0,76,595.25,77,603.081
40T6E5,320,1868,40,true,28852,0,73,581.822,76,605.722
80T1E1,320,322,80,true,969,0,1,2.34884,255,601.499
80T1E2,320,322,80,true,994,0,1,2.3088,260,601.449
80T1E3,320,320,80,true,1183,0,1,2.24869,264,600.703
80T1E4,320,322,80,true,692,0,1,2.30644,257,601.025
80T1E5,320,320,80,true,960,0,1,2.43777,250,600.812
80T2E1,320,690,80,true,8074,0,82,409.879,120,602.9
80T2E2,320,694,80,true,8353,0,70,364.558,116,604.368
80T2E3,320,689,80,true,8121,0,1,4.71878,124,602.995
80T2E4,320,696,80,true,8084,0,59,287.341,122,603.643
80T2E5,320,690,80,true,7805,0,1,4.52872,125,600.726
80T4E1,320,1344,80,true,20883,0,62,606.194,62,606.194
80T4E2,320,1338,80,true,20728,0,62,608.161,62,608.161
80T4E3,320,1335,80,true,20497,0,61,593.961,62,603.695
80T4E4,320,1339,80,true,19837,0,60,579.505,63,608.54
80T4E5,320,1334,80,true,20362,0,56,553.206,61,602.664
80T6E1,320,1936,80,true,34919,0,38,589.247,39,604.812
80T6E2,320,1938,80,true,33998,0,38,593.511,39,609.123
80T6E3,320,1919,80,true,34452,0,37,579.678,39,611.041
80T6E4,320,1961,80,true,35761,0,38,605.825,38,605.825
80T6E5,320,1941,80,true,34204,0,39,611.015,39,611.015
