Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.670505,1147,600.193
20T1E2,320,321,20,true,50,0,1,0.542,1135,600.38
20T1E3,320,320,20,true,61,0,1,0.549482,1119,600.419
20T1E4,320,321,20,true,23,0,3,1.61543,1112,600.091
20T1E5,320,320,20,true,59,0,2,1.04395,1127,600.492
20T2E1,320,650,20,true,3053,0,149,203.334,441,601.221
20T2E2,320,652,20,true,2915,0,156,217.401,431,600.456
20T2E3,320,648,20,true,2927,0,123,166.758,440,600.476
20T2E4,320,661,20,true,2593,0,136,191.514,426,600.296
20T2E5,320,662,20,true,2735,0,143,204.726,419,600.525
20T4E1,320,1390,20,true,14106,0,203,599.096,204,602.042
20T4E2,320,1439,20,true,15101,0,190,586.771,195,602.32
20T4E3,320,1392,20,true,14340,0,198,598.496,199,601.536
20T4E4,320,1460,20,true,15259,0,184,591.701,187,601.289
20T4E5,320,1467,20,true,14664,0,181,591.586,184,601.4
20T6E1,320,2323,20,true,31348,0,107,583.284,111,605.277
20T6E2,320,2223,20,true,30379,0,116,599.868,117,605.055
20T6E3,320,2125,20,true,28887,0,121,590.378,123,600.092
20T6E4,320,2264,20,true,30830,0,108,581.109,112,602.592
20T6E5,320,2129,20,true,30486,0,121,602.136,121,602.136
40T1E1,320,322,40,true,340,0,12,13.1483,537,600.518
40T1E2,320,320,40,true,316,0,2,2.1095,561,600.82
40T1E3,320,322,40,true,178,0,11,12.0792,543,601.019
40T1E4,320,322,40,true,379,0,8,8.43775,559,600.091
40T1E5,320,320,40,true,238,0,9,9.35535,563,600.688
40T2E1,320,545,40,true,3206,0,82,145.176,336,600.56
40T2E2,320,537,40,true,3587,0,78,141.644,333,601.557
40T2E3,320,541,40,true,3360,0,101,183.287,333,600.184
40T2E4,320,543,40,true,3467,0,99,173.544,333,600.867
40T2E5,320,540,40,true,3312,0,118,210.043,333,601.392
40T4E1,320,1226,40,true,14461,0,131,600.899,131,600.899
40T4E2,320,1201,40,true,14236,0,131,596.101,132,600.64
40T4E3,320,1213,40,true,14498,0,133,600.992,133,600.992
40T4E4,320,1227,40,true,14095,0,131,602.942,131,602.942
40T4E5,320,1210,40,true,14939,0,133,603.698,133,603.698
40T6E1,320,1906,40,true,30246,0,75,605.481,75,605.481
40T6E2,320,1927,40,true,31095,0,65,535.553,73,601.493
40T6E3,320,1887,40,true,30062,0,71,574.032,75,606.422
40T6E4,320,1865,40,true,30057,0,76,588.976,78,604.489
40T6E5,320,1868,40,true,30166,0,74,578.125,77,601.595
80T1E1,320,322,80,true,969,0,22,49.0913,269,601.823
80T1E2,320,322,80,true,994,0,17,37.4177,273,600.857
80T1E3,320,320,80,true,1183,0,20,43.5105,275,601.81
80T1E4,320,322,80,true,692,0,28,63.2337,268,602.196
80T1E5,320,320,80,true,960,0,24,53.8117,268,601.704
80T2E1,320,690,80,true,8074,0,77,345.607,133,601.592
80T2E2,320,694,80,true,8353,0,83,405.893,122,603.591
80T2E3,320,689,80,true,8121,0,66,307.981,128,603.877
80T2E4,320,696,80,true,8084,0,91,402.223,136,601.169
80T2E5,320,690,80,true,7805,0,72,314.929,137,600.977
80T4E1,320,1344,80,true,21364,0,63,606.346,63,606.346
80T4E2,320,1338,80,true,21090,0,63,600.858,63,600.858
80T4E3,320,1335,80,true,20819,0,63,595.087,64,604.618
80T4E4,320,1339,80,true,20322,0,64,606.304,64,606.304
80T4E5,320,1334,80,true,20745,0,60,576.946,63,605.842
80T6E1,320,1936,80,true,36370,0,37,567.85,40,613.977
80T6E2,320,1938,80,true,35446,0,40,614.722,40,614.722
80T6E3,320,1919,80,true,35699,0,40,612.264,40,612.264
80T6E4,320,1961,80,true,37197,0,38,590.683,39,606.251
80T6E5,320,1941,80,true,35684,0,32,495.438,39,603.753
