Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17519,0,1211,123.91,5822,600.069,1887782
N1280K80M4N2,1280,5405,120,true,17524,0,1788,187.167,5783,600.003,1887782
N1280K80M4N3,1280,5433,120,true,18217,0,1061,114.878,5577,600.101,1887782
N1280K80M4N4,1280,5438,120,true,17993,0,5265,542.053,5831,600.086,1887782
N1280K80M4N5,1280,5467,120,true,18446,0,2378,244.31,5822,600.086,1887782
N160K20M4N1,160,649,20,true,2152,0,110,1.71162,44477,600.001,1887782
N160K20M4N2,160,651,20,true,2041,0,18238,247.414,43691,600.001,1887782
N160K20M4N3,160,653,20,true,1875,0,4429,65.4278,42764,600.005,1887782
N160K20M4N4,160,644,20,true,2010,0,11354,154.955,45208,600,1887782
N160K20M4N5,160,660,20,true,2085,0,21883,305.157,44312,600.003,1887782
N2560K160M4N1,2560,10879,240,true,35743,0,2562,579.464,2651,600.217,1887782
N2560K160M4N2,2560,10894,240,true,35965,0,2447,533.16,2753,600.158,1887782
N2560K160M4N3,2560,10877,240,true,35164,0,2746,593.46,2776,600.061,1887782
N2560K160M4N4,2560,10873,240,true,36478,0,2755,590.595,2799,600.118,1887782
N2560K160M4N5,2560,10917,240,true,43061,0,2899,599.277,2903,600.162,1887782
N320K40M4N1,320,1309,40,true,4185,0,18657,464.195,24227,600.004,1887782
N320K40M4N2,320,1307,40,true,4016,0,912,23.3648,23539,600.005,1887782
N320K40M4N3,320,1311,40,true,4476,0,19115,501.888,22789,600.024,1887782
N320K40M4N4,320,1306,40,true,3937,0,507,13.4212,23864,600.019,1887782
N320K40M4N5,320,1311,40,true,4352,0,6222,162.828,22933,600.004,1887782
N5120K320M4N1,5120,21775,480,true,71370,0,1285,596.637,1292,600.077,1887782
N5120K320M4N2,5120,21803,480,true,72218,0,1301,600.149,1301,600.149,1887782
N640K80M4N1,640,2615,80,true,8461,0,8210,437.368,11194,600.04,1887782
N640K80M4N2,640,2636,80,true,8304,0,9101,464.391,11765,600.032,1887782
N640K80M4N3,640,2623,80,true,8495,0,3802,197.007,11400,600.049,1887782
N640K80M4N4,640,2624,80,true,8361,0,11064,597.639,11111,600.041,1887782
N640K80M4N5,640,2612,80,true,8445,0,9822,519.366,11377,600.012,1887782
