Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,true,17686,3269,1076,540.243,1196,600.02,1884283
N1280K80M4N2,1280,5405,120,true,17743,3131,1129,562.064,1206,600.136,1884283
N1280K80M4N3,1280,5433,120,true,18316,1839,1187,599.975,1188,600.489,1884283
N1280K80M4N4,1280,5438,120,true,18187,3595,1182,599.166,1184,600.19,1884283
N1280K80M4N5,1280,5467,120,true,18573,2313,1115,563.325,1186,600.04,1884283
N160K20M4N1,160,649,20,true,2156,161,2438,140.428,10570,600.011,1884283
N160K20M4N2,160,651,20,true,2033,231,436,24.4722,10639,600.036,1884283
N160K20M4N3,160,653,20,true,1868,151,146,8.29626,10554,600.032,1884283
N160K20M4N4,160,644,20,true,2008,249,536,30.6957,10514,600.011,1884283
N160K20M4N5,160,660,20,true,2073,150,1449,84.2058,10317,600.016,1884283
N2560K160M4N1,2560,10879,240,true,36412,6418,553,594.222,559,600.6,1884283
N2560K160M4N2,2560,10894,240,true,36525,3392,556,596.309,560,600.548,1884283
N2560K160M4N3,2560,10877,240,true,35668,5808,560,598.892,562,601.026,1884283
N2560K160M4N4,2560,10873,240,true,37016,7344,559,600.958,559,600.958,1884283
N2560K160M4N5,2560,10917,240,true,36975,6019,563,600.804,563,600.804,1884283
N320K40M4N1,320,1309,40,true,4185,580,1603,185.87,5186,600.097,1884283
N320K40M4N2,320,1307,40,true,4002,574,2469,283.879,5232,600.023,1884283
N320K40M4N3,320,1311,40,true,4466,736,3901,446.033,5244,600.026,1884283
N320K40M4N4,320,1306,40,true,3949,401,4914,567.837,5197,600.102,1884283
N320K40M4N5,320,1311,40,true,4343,405,969,112.777,5178,600.037,1884283
N5120K320M4N1,5120,21775,480,true,75009,15509,268,596.257,270,600.668,1884283
N5120K320M4N2,5120,21803,480,true,75850,14978,270,596.385,272,600.805,1884283
N640K80M4N1,640,2615,80,true,8464,1293,921,214.771,2574,600.104,1884283
N640K80M4N2,640,2636,80,true,8307,1321,606,144.585,2526,600.192,1884283
N640K80M4N3,640,2623,80,true,8477,1444,1599,374.807,2547,600.112,1884283
N640K80M4N4,640,2624,80,true,8360,1250,1188,281.341,2542,600.058,1884283
N640K80M4N5,640,2612,80,true,8438,1198,837,194.888,2581,600.157,1884283
