Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
N1280K120M4N1,1280,5425,120,true,18812,2837,120,59.9998,121,60.4983
N1280K120M4N2,1280,5439,120,true,18531,3331,117,58.4944,121,60.4876
N1280K120M4N3,1280,5422,120,true,18684,2817,121,60.2481,121,60.2481
N1280K120M4N4,1280,5452,120,true,19068,3635,119,60.013,119,60.013
N1280K120M4N5,1280,5450,120,true,18656,2081,118,59.3185,120,60.3373
N160K20M4N1,160,649,20,true,2154,162,723,41.0022,1059,60.0401
N160K20M4N2,160,651,20,true,2033,161,158,8.98672,1068,60.047
N160K20M4N3,160,653,20,true,1867,167,164,9.41093,1061,60.0376
N160K20M4N4,160,644,20,true,2006,342,139,7.94338,1057,60.0382
N160K20M4N5,160,660,20,true,2076,181,189,11.0887,1032,60.0132
N2560K240M4N1,2560,10877,240,true,42643,6455,56,59.6067,57,60.6709
N2560K240M4N2,2560,10897,240,true,41132,6904,57,60.9637,57,60.9637
N2560K240M4N3,2560,10904,240,true,42286,3208,57,60.9848,57,60.9848
N2560K240M4N4,2560,10906,240,true,41385,4532,56,59.7431,57,60.8092
N2560K240M4N5,2560,10890,240,true,40936,6086,56,60.0101,56,60.0101
N320K40M4N1,320,1309,40,true,4187,598,399,45.7139,524,60.0309
N320K40M4N2,320,1307,40,true,4006,371,293,33.3795,528,60.0342
N320K40M4N3,320,1311,40,true,4470,538,240,27.5282,524,60.0549
N320K40M4N4,320,1306,40,true,3950,353,308,35.2519,525,60.0031
N320K40M4N5,320,1311,40,true,4346,403,293,33.6675,524,60.1127
N5120K480M4N1,5120,21755,480,true,89243,15184,28,61.7709,28,61.7709
N5120K480M4N2,5120,21738,480,true,88811,15156,27,59.7474,28,61.9571
N5120K480M4N3,5120,21778,480,true,90384,13676,28,61.8658,28,61.8658
N5120K480M4N4,5120,21772,480,true,89760,15360,27,60.1801,27,60.1801
N5120K480M4N5,5120,21794,480,true,89778,15537,26,57.5351,28,61.9651
N640K80M4N1,640,2615,80,true,8484,809,251,58.7317,257,60.1364
N640K80M4N2,640,2636,80,true,8338,1329,256,60.2128,256,60.2128
N640K80M4N3,640,2623,80,true,8527,1015,251,58.8972,256,60.0661
N640K80M4N4,640,2624,80,true,8395,1333,257,60.1947,257,60.1947
N640K80M4N5,640,2612,80,true,8466,1549,257,59.8664,258,60.0986
