Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
80T1E1,320,322,80,true,970,0,6118,166.287,22231,600.001
80T1E2,320,322,80,true,995,0,3954,106.804,22213,600.004
80T1E3,320,320,80,true,1184,0,3779,99.3467,22889,600.016
80T1E4,320,322,80,true,692,0,5890,160.158,22066,600.006
80T1E5,320,320,80,true,962,0,3722,98.7786,22702,600.013
80T2E1,320,690,80,true,8087,0,10200,489.629,12499,600.032
80T2E2,320,694,80,false,6.59208,0,12276,580.713,12684,600.021
80T2E3,320,689,80,false,14.5571,0,12040,575.886,12544,600.013
80T2E4,320,696,80,false,4.61424,0,9142,443.235,12367,600.031
80T2E5,320,690,80,false,25.5259,0,12185,568.297,12863,600.019
80T4E1,320,1344,80,false,78.0122,0,1570,115.645,8252,600.048
80T4E2,320,1338,80,false,77.5201,0,7527,539.874,8369,600.036
80T4E3,320,1335,80,false,78.0168,0,1240,90.2371,8465,600.004
80T4E4,320,1339,80,false,78.0178,0,1620,119.064,8297,600.026
80T4E5,320,1334,80,false,78.0137,0,804,58.3054,8532,600.048
80T6E1,320,1936,80,false,79,0,1381,136.726,6149,600.039
80T6E2,320,1938,80,false,79,0,913,90.9245,6158,600.089
80T6E3,320,1919,80,false,79,0,1143,113.343,6194,600.08
80T6E4,320,1961,80,false,79,0,1352,135.351,5744,600.003
80T6E5,320,1941,80,false,79,0,2145,229.23,5751,600.015
