Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.594347,1090,600.44
20T1E2,320,321,20,true,50,0,1,0.764175,992,600.512
20T1E3,320,320,20,true,61,0,1,0.723769,983,600.305
20T1E4,320,321,20,true,23,0,1,0.669465,1061,600.36
20T1E5,320,320,20,true,59,0,1,0.671011,1066,600.348
20T2E1,320,650,20,true,3053,0,104,147.116,419,601.309
20T2E2,320,652,20,true,2915,0,112,164.12,389,600.817
20T2E3,320,648,20,true,2927,0,140,213.378,389,600.597
20T2E4,320,661,20,true,2593,0,132,210.982,373,600.241
20T2E5,320,662,20,true,2735,0,115,174.771,402,601.237
20T4E1,320,1390,20,true,14263,0,202,600.114,202,600.114
20T4E2,320,1439,20,true,15277,0,182,577.951,189,600.546
20T4E3,320,1392,20,true,14487,0,189,572.829,198,600.209
20T4E4,320,1460,20,true,15457,0,182,598.125,183,601.479
20T4E5,320,1467,20,true,15000,0,182,602.062,182,602.062
20T6E1,320,2323,20,true,32786,0,110,582.504,114,603.8
20T6E2,320,2223,20,true,31992,0,113,596.344,114,601.63
20T6E3,320,2125,20,true,30643,0,120,591.715,122,601.691
20T6E4,320,2264,20,true,32807,0,110,594.333,112,605.191
20T6E5,320,2129,20,true,32531,0,109,581.074,113,602.225
40T1E1,320,322,40,true,340,0,2,2.44947,474,600.46
40T1E2,320,320,40,true,316,0,1,1.16607,496,600.46
40T1E3,320,322,40,true,178,0,7,7.98776,498,600.083
40T1E4,320,322,40,true,379,0,1,1.12974,517,600.941
40T1E5,320,320,40,true,238,0,1,1.11114,528,600.109
40T2E1,320,545,40,true,3206,0,69,138.447,301,600.95
40T2E2,320,537,40,true,3587,0,160,311.841,309,601.902
40T2E3,320,541,40,true,3360,0,92,163.261,338,601.659
40T2E4,320,543,40,true,3467,0,73,142.458,307,600.038
40T2E5,320,540,40,true,3314,0,57,107.889,308,600.921
40T4E1,320,1226,40,true,14804,0,128,600.195,128,600.195
40T4E2,320,1201,40,true,14575,0,132,602.503,132,602.503
40T4E3,320,1213,40,true,14716,0,129,603.516,129,603.516
40T4E4,320,1227,40,true,14435,0,123,586.754,126,601.09
40T4E5,320,1210,40,true,15160,0,130,601.609,130,601.609
40T6E1,320,1906,40,true,32248,0,74,603.674,74,603.674
40T6E2,320,1927,40,true,32975,0,73,603.094,73,603.094
40T6E3,320,1887,40,true,32387,0,74,582.534,77,606.312
40T6E4,320,1865,40,true,32122,0,76,603.469,76,603.469
40T6E5,320,1868,40,true,31974,0,78,607.019,78,607.019
80T1E1,320,322,80,true,969,0,13,31.1243,248,602.093
80T1E2,320,322,80,true,994,0,7,16.6423,252,600.458
80T1E3,320,320,80,true,1183,0,9,21.7709,247,600.58
80T1E4,320,322,80,true,692,0,10,24.5455,250,600.96
80T1E5,320,320,80,true,960,0,5,12.3379,243,601.39
80T2E1,320,690,80,true,8074,0,67,295.906,136,600.985
80T2E2,320,694,80,true,8353,0,77,365.551,127,602.482
80T2E3,320,689,80,true,8121,0,48,211.146,135,601.106
80T2E4,320,696,80,true,8084,0,67,329.304,122,602.088
80T2E5,320,690,80,true,7805,0,40,187.849,125,603.104
80T4E1,320,1344,80,true,21773,0,58,568.854,62,608.283
80T4E2,320,1338,80,true,21474,0,64,608.085,64,608.085
80T4E3,320,1335,80,true,21157,0,64,594.499,65,603.876
80T4E4,320,1339,80,true,20497,0,58,540.133,65,607.288
80T4E5,320,1334,80,true,21083,0,64,609.069,64,609.069
80T6E1,320,1936,80,true,38748,0,36,560.982,39,607.754
80T6E2,320,1938,80,true,37603,0,30,451.752,40,602.768
80T6E3,320,1919,80,true,37764,0,38,612.531,38,612.531
80T6E4,320,1961,80,true,39531,0,34,578.769,36,613.425
80T6E5,320,1941,80,true,37488,0,30,505.555,36,609.977
