Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,True,17518,0,2879,297.754,5795,600.043,1271039
N1280K80M4N2,1280,5405,120,True,17524,0,825,85.969,5827,600.03,1271039
N1280K80M4N3,1280,5433,120,True,18214,0,4578,491.59,5585,600.072,1271039
N1280K80M4N4,1280,5438,120,True,17965,0,4075,418.277,5834,600.065,1271039
N1280K80M4N5,1280,5467,120,True,18419,0,4935,508.277,5813,600.087,1271039
N160K20M4N1,160,649,20,True,2152,0,260,3.70252,45080,600.005,1271039
N160K20M4N2,160,651,20,True,2041,0,3793,53.8055,43933,600.006,1271039
N160K20M4N3,160,653,20,True,1875,0,18803,257.791,43395,600.013,1271039
N160K20M4N4,160,644,20,True,2010,0,1669,22.0743,45619,600.001,1271039
N160K20M4N5,160,660,20,True,2086,0,124,1.7804,45191,600.002,1271039
N2560K160M4N1,2560,10879,240,True,35737,0,2707,599.078,2712,600.179,1271039
N2560K160M4N2,2560,10894,240,True,35949,0,2702,600.141,2702,600.141,1271039
N2560K160M4N3,2560,10877,240,True,35401,0,2750,597.076,2764,600.112,1271039
N2560K160M4N4,2560,10873,240,True,36487,0,2647,566.891,2801,600.039,1271039
N2560K160M4N5,2560,10917,240,True,43040,0,2930,594.726,2956,600.165,1271039
N320K40M4N1,320,1309,40,True,4185,0,14806,364.958,24497,600.022,1271039
N320K40M4N2,320,1307,40,True,4017,0,20308,525.793,23218,600.023,1271039
N320K40M4N3,320,1311,40,True,4477,0,3993,101.499,23703,600.008,1271039
N320K40M4N4,320,1306,40,True,3937,0,1396,34.6189,24303,600.004,1271039
N320K40M4N5,320,1311,40,True,4352,0,1985,54.191,22479,600.019,1271039
N5120K320M4N1,5120,21775,480,True,71343,0,1272,599.77,1273,600.24,1271039
N5120K320M4N2,5120,21803,480,True,72345,0,1291,598.346,1295,600.218,1271039
N640K80M4N1,640,2615,80,True,8462,0,2410,126.56,11427,600.049,1271039
N640K80M4N2,640,2636,80,True,8303,0,6720,351.7,11539,600.006,1271039
N640K80M4N3,640,2623,80,True,8494,0,9600,500.842,11479,600.046,1271039
N640K80M4N4,640,2624,80,True,8363,0,4819,248.392,11671,600.0,1271039
N640K80M4N5,640,2612,80,True,8446,0,8432,429.565,11798,600.039,1271039
N1280K80M4N1,1280,5419,120,True,17516,0,5762,596.14,5800,600.067,1328963
N1280K80M4N2,1280,5405,120,True,17524,0,807,82.3961,5794,600.081,1328963
N1280K80M4N3,1280,5433,120,True,18212,0,5267,562.733,5617,600.104,1328963
N1280K80M4N4,1280,5438,120,True,18010,0,5839,596.615,5873,600.092,1328963
N1280K80M4N5,1280,5467,120,True,18419,0,5121,526.804,5829,600.037,1328963
N160K20M4N1,160,649,20,True,2152,0,461,6.13332,45328,600.01,1328963
N160K20M4N2,160,651,20,True,2041,0,12841,172.857,44771,600.006,1328963
N160K20M4N3,160,653,20,True,1875,0,17451,240.267,43542,600.007,1328963
N160K20M4N4,160,644,20,True,2010,0,23677,312.638,45470,600.005,1328963
N160K20M4N5,160,660,20,True,2086,0,118,1.57352,45232,600.01,1328963
N2560K160M4N1,2560,10879,240,True,35731,0,2649,587.51,2706,600.199,1328963
N2560K160M4N2,2560,10894,240,True,35959,0,2676,592.057,2712,600.029,1328963
N2560K160M4N3,2560,10877,240,True,36073,0,2766,599.155,2770,600.029,1328963
N2560K160M4N4,2560,10873,240,True,36491,0,2797,597.621,2809,600.201,1328963
N2560K160M4N5,2560,10917,240,True,42716,0,2939,600.201,2939,600.201,1328963
N320K40M4N1,320,1309,40,True,4185,0,1974,48.1055,24582,600.007,1328963
N320K40M4N2,320,1307,40,True,4016,0,4375,112.033,23408,600.009,1328963
N320K40M4N3,320,1311,40,True,4477,0,6570,168.406,23470,600.012,1328963
N320K40M4N4,320,1306,40,True,3937,0,639,15.9923,23886,600.013,1328963
N320K40M4N5,320,1311,40,True,4352,0,3781,99.115,22975,600.022,1328963
N5120K320M4N1,5120,21775,480,True,71439,0,1280,596.166,1289,600.388,1328963
N5120K320M4N2,5120,21803,480,True,72568,0,1292,598.708,1295,600.104,1328963
N640K80M4N1,640,2615,80,True,8464,0,7950,416.614,11437,600.045,1328963
N640K80M4N2,640,2636,80,True,8303,0,5400,282.612,11594,600.031,1328963
N640K80M4N3,640,2623,80,True,8495,0,2182,109.201,11990,600.002,1328963
N640K80M4N4,640,2624,80,True,8360,0,10662,551.494,11597,600.025,1328963
N640K80M4N5,640,2612,80,True,8444,0,11335,585.864,11609,600.019,1328963
N1280K80M4N1,1280,5419,120,True,17517,0,2575,268.028,5748,600.06,1694354
N1280K80M4N2,1280,5405,120,True,17524,0,759,77.2206,5809,600.081,1694354
N1280K80M4N3,1280,5433,120,True,18211,0,2484,267.258,5563,600.105,1694354
N1280K80M4N4,1280,5438,120,True,17967,0,5242,533.443,5894,600.019,1694354
N1280K80M4N5,1280,5467,120,True,18417,0,5551,573.913,5803,600.041,1694354
N160K20M4N1,160,649,20,True,2152,0,179,2.48122,45278,600.009,1694354
N160K20M4N2,160,651,20,True,2041,0,2251,30.5109,44630,600.011,1694354
N160K20M4N3,160,653,20,True,1875,0,36935,511.641,43310,600.009,1694354
N160K20M4N4,160,644,20,True,2010,0,21375,281.961,45539,600.006,1694354
N160K20M4N5,160,660,20,True,2085,0,2258,30.6065,44629,600.011,1694354
N2560K160M4N1,2560,10879,240,True,35754,0,2723,599.759,2725,600.203,1694354
N2560K160M4N2,2560,10894,240,True,35969,0,1998,445.307,2688,600.178,1694354
