Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
N1280K120M4N1,1280,5425,120,true,17977,0,5757,586.909,5885,600.021
N1280K120M4N2,1280,5439,120,true,17531,0,5505,577.858,5716,600.026
N1280K120M4N3,1280,5422,120,true,17812,0,5602,569.514,5901,600.053
N1280K120M4N4,1280,5452,120,true,18123,0,2078,216.537,5754,600.086
N1280K120M4N5,1280,5450,120,true,17759,0,5726,583.072,5891,600.008
N160K20M4N1,160,649,20,true,2152,0,216,3.11541,45695,600.007
N160K20M4N2,160,651,20,true,2041,0,6272,87.2423,43209,600.01
N160K20M4N3,160,653,20,true,1875,0,7594,105.697,43253,600.013
N160K20M4N4,160,644,20,true,2010,0,16935,226.221,44991,600.011
N160K20M4N5,160,660,20,true,2086,0,159,2.37723,44365,600.002
N2560K240M4N1,2560,10877,240,true,36531,0,2221,483.48,2753,600.187
N2560K240M4N2,2560,10897,240,true,34932,0,2568,565.996,2722,600.051
N2560K240M4N3,2560,10904,240,true,38327,0,2786,594.824,2810,600.065
N2560K240M4N4,2560,10906,240,true,35586,0,2555,561.878,2728,600.202
N2560K240M4N5,2560,10890,240,true,34836,0,2704,598.306,2712,600.076
N320K40M4N1,320,1309,40,true,4186,0,247,6.1648,24722,600.014
N320K40M4N2,320,1307,40,true,4016,0,1799,46.2056,23376,600.021
N320K40M4N3,320,1311,40,true,4476,0,23419,597.533,23518,600.022
N320K40M4N4,320,1306,40,true,3937,0,239,6.13224,23565,600.001
N320K40M4N5,320,1311,40,true,4352,0,3680,97.3048,22883,600.001
N5120K480M4N1,5120,21755,480,true,71256,0,1321,599.758,1322,600.216
N5120K480M4N2,5120,21738,480,true,69910,0,1325,598.899,1328,600.269
N5120K480M4N3,5120,21778,480,true,72278,0,1317,599.613,1318,600.074
N5120K480M4N4,5120,21772,480,true,71152,0,1276,599.411,1278,600.356
N5120K480M4N5,5120,21794,480,true,71614,0,1328,600.185,1328,600.185
N640K80M4N1,640,2615,80,true,8464,0,9289,485.984,11475,600.016
N640K80M4N2,640,2636,80,true,8303,0,655,33.5602,11657,600.006
N640K80M4N3,640,2623,80,true,8494,0,7461,373.013,12009,600.017
N640K80M4N4,640,2624,80,true,8362,0,7766,397.72,11725,600.023
N640K80M4N5,640,2612,80,true,8447,0,11607,593.398,11737,600.042
