Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
N1280K120M4N1,1280,5425,120,true,18077,2760,958,479.297,1200,600.22
N1280K120M4N2,1280,5439,120,true,17800,2951,1019,508.209,1204,600.435
N1280K120M4N3,1280,5422,120,true,17994,3011,1095,545.022,1206,600.164
N1280K120M4N4,1280,5452,120,true,18399,3574,1183,592.844,1198,600.397
N1280K120M4N5,1280,5450,120,true,17899,3449,1189,596.323,1197,600.353
N160K20M4N1,160,649,20,true,2154,162,723,41.0153,10578,600.004
N160K20M4N2,160,651,20,true,2033,161,158,8.92279,10665,600.035
N160K20M4N3,160,653,20,true,1867,167,164,9.3439,10569,600.045
N160K20M4N4,160,644,20,true,2006,342,139,7.90554,10559,600.038
N160K20M4N5,160,660,20,true,2076,181,189,11.0188,10318,600.037
N2560K240M4N1,2560,10877,240,true,37142,7421,565,600.162,565,600.162
N2560K240M4N2,2560,10897,240,true,35572,3159,565,600.55,565,600.55
N2560K240M4N3,2560,10904,240,true,36698,6889,558,597.419,561,600.626
N2560K240M4N4,2560,10906,240,true,36195,4384,564,600.921,564,600.921
N2560K240M4N5,2560,10890,240,true,35295,3375,561,599.942,562,601.009
N320K40M4N1,320,1309,40,true,4185,340,4508,516.512,5237,600.081
N320K40M4N2,320,1307,40,true,4005,360,3041,345.004,5292,600.112
N320K40M4N3,320,1311,40,true,4468,511,769,88.0094,5240,600.095
N320K40M4N4,320,1306,40,true,3950,353,308,35.1988,5254,600.033
N320K40M4N5,320,1311,40,true,4345,354,813,93.0732,5246,600
N5120K480M4N1,5120,21755,480,true,74276,14265,265,589.495,270,600.514
N5120K480M4N2,5120,21738,480,true,73548,15416,273,601.662,273,601.662
N5120K480M4N3,5120,21778,480,true,75943,15784,272,601.114,272,601.114
N5120K480M4N4,5120,21772,480,true,75001,15510,272,600.001,272,600.001
N5120K480M4N5,5120,21794,480,true,75515,14096,271,599.315,272,601.526
N640K80M4N1,640,2615,80,true,8459,1001,1967,459.438,2569,600.027
N640K80M4N2,640,2636,80,true,8304,1142,1136,266.6,2558,600.115
N640K80M4N3,640,2623,80,true,8480,1095,1624,380.529,2560,600.096
N640K80M4N4,640,2624,80,true,8356,866,1659,387.316,2571,600.055
N640K80M4N5,640,2612,80,true,8432,1559,838,195.138,2577,600.183
