Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
80T1E1,320,322,80,true,1090,81,13789,591.016,14000,600.024
80T1E2,320,322,80,true,1089,81,373,16.3544,13632,600.036
80T1E3,320,320,80,true,1298,80,13424,594.038,13560,600.038
80T1E4,320,322,80,true,919,81,3059,133.755,13736,600.005
80T1E5,320,320,80,true,1084,80,1758,76.0258,13845,600.027
80T2E1,320,690,80,true,9020,448,708,93.9066,4515,600.041
80T2E2,320,694,80,true,9276,454,2184,312.003,4191,600.107
80T2E3,320,689,80,true,9198,444,3512,478.088,4407,600.005
80T2E4,320,696,80,true,9054,454,2826,369.133,4605,600.02
80T2E5,320,690,80,true,8745,449,172,22.3929,4534,600.05
80T4E1,320,1344,80,true,23633,1094,1248,548.235,1366,600.101
80T4E2,320,1338,80,true,23303,1092,265,108.075,1455,600.299
80T4E3,320,1335,80,true,23250,1090,778,311.849,1490,600.209
80T4E4,320,1339,80,true,22934,1092,904,380.174,1422,600.342
80T4E5,320,1334,80,true,23082,1089,652,253.661,1549,600.213
80T6E1,320,1936,80,true,37944,1684,61,50.59,696,600.454
80T6E2,320,1938,80,true,36972,1691,23,18.4098,706,600.834
80T6E3,320,1919,80,true,37384,1667,245,195.427,746,600.403
80T6E4,320,1961,80,true,38662,1705,190,158.052,707,600.077
80T6E5,320,1941,80,true,37282,1691,336,288.626,695,600.501
