Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
80T1E1,320,322,80,true,969,81,14,0.385874,21900,600.014
80T1E2,320,322,80,true,994,80,11,0.304832,21763,600.011
80T1E3,320,320,80,true,1183,80,6,0.165069,22027,600.024
80T1E4,320,322,80,true,692,81,6,0.165068,22070,600.007
80T1E5,320,320,80,true,960,80,6,0.1658,21909,600.017
80T2E1,320,690,80,true,8074,445,43,2.4404,10582,600.04
80T2E2,320,694,80,true,8353,452,35,1.98649,10571,600.033
80T2E3,320,689,80,true,8121,447,35,1.96588,10693,600.029
80T2E4,320,696,80,true,8084,455,40,2.29748,10449,600.052
80T2E5,320,690,80,true,7805,450,23,1.29539,10694,600.03
80T4E1,320,1344,80,true,20646,1091,116,12.4169,5620,600.05
80T4E2,320,1338,80,true,20400,1091,116,12.3354,5656,600.087
80T4E3,320,1335,80,true,20235,1086,125,13.2866,5653,600.105
80T4E4,320,1339,80,true,19621,1091,123,13.1131,5622,600.048
80T4E5,320,1334,80,true,20091,1088,107,11.3982,5650,600.031
80T6E1,320,1936,80,true,34097,1686,162,25.0894,3879,600.112
80T6E2,320,1938,80,true,33138,1690,141,21.9016,3860,600.015
80T6E3,320,1919,80,true,33583,1669,128,19.7247,3886,600.097
80T6E4,320,1961,80,true,34868,1707,156,24.4422,3835,600.084
80T6E5,320,1941,80,true,33343,1689,156,24.1304,3881,600.011
