Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,6,0.104812,3486,60.0067
20T1E2,320,321,20,true,50,0,11,0.190987,3411,60.0025
20T1E3,320,320,20,true,61,0,12,0.208128,3515,60.0119
20T1E4,320,321,20,true,23,0,19,0.354236,3503,60.0119
20T1E5,320,320,20,true,59,0,13,0.218234,3609,60.0011
20T2E1,320,650,20,true,3053,0,62,1.36559,2835,60.0125
20T2E2,320,652,20,true,2916,0,52,1.17238,2805,60.0196
20T2E3,320,648,20,true,2927,0,51,1.15239,2796,60.0039
20T2E4,320,661,20,true,2593,0,66,1.46936,2817,60.0011
20T2E5,320,662,20,true,2735,0,55,1.25076,2751,60.0015
20T4E1,320,1390,20,true,14020,0,82,2.31594,2282,60.0085
20T4E2,320,1439,20,true,15014,0,83,2.36866,2265,60.0155
20T4E3,320,1392,20,true,14235,0,87,2.43801,2288,60.0054
20T4E4,320,1460,20,true,15053,0,1861,50.0827,2231,60.0083
20T4E5,320,1467,20,true,14489,0,96,2.73094,2234,60.0197
20T6E1,320,2323,20,true,29633,0,113,3.96273,1820,60.0146
20T6E2,320,2223,20,true,28764,0,123,4.15498,1871,60.0045
20T6E3,320,2125,20,true,27614,0,147,4.76298,1934,60.0305
20T6E4,320,2264,20,true,29284,0,128,4.35784,1866,60.0303
20T6E5,320,2129,20,true,28979,0,109,3.60704,1953,60.0047
40T1E1,320,322,40,true,340,0,16,0.279267,3524,60.0019
40T1E2,320,320,40,true,316,0,19,0.322138,3533,60.0073
40T1E3,320,322,40,true,178,0,27,0.469823,3436,60.0068
40T1E4,320,322,40,true,379,0,16,0.275378,3498,60.0094
40T1E5,320,320,40,true,238,0,20,0.342829,3487,60.0074
40T2E1,320,545,40,true,3206,0,82,1.58293,3131,60.0051
40T2E2,320,537,40,true,3587,0,55,1.06807,3152,60.0114
40T2E3,320,541,40,true,3360,0,85,1.62671,3153,60.0092
40T2E4,320,543,40,true,3467,0,314,5.95175,3159,60.0068
40T2E5,320,540,40,true,3312,0,87,1.69068,3124,60.01
40T4E1,320,1226,40,true,14196,0,72,1.86525,2463,60.0183
40T4E2,320,1201,40,true,14102,0,63,1.64971,2474,60.0188
40T4E3,320,1213,40,true,14336,0,75,1.94446,2433,60.0083
40T4E4,320,1227,40,true,13966,0,74,1.92894,2421,60.0232
40T4E5,320,1210,40,true,14700,0,90,2.28893,2452,60.0002
40T6E1,320,1906,40,true,27962,0,74,2.33042,2051,60.0206
40T6E2,320,1927,40,true,28800,0,80,2.52975,2060,60.0011
40T6E3,320,1887,40,true,28303,0,75,2.323,2119,60.0236
40T6E4,320,1865,40,true,28185,0,115,3.40874,2123,60.0163
40T6E5,320,1868,40,true,28157,0,94,2.85887,2078,60.0081
80T1E1,320,322,80,true,969,0,75,1.28902,3508,60.0168
80T1E2,320,322,80,true,994,0,47,0.812138,3425,60.0006
80T1E3,320,320,80,true,1183,0,234,3.93614,3556,60.0106
80T1E4,320,322,80,true,692,0,41,0.706868,3445,60.0131
80T1E5,320,320,80,true,960,0,159,2.72752,3497,60.0031
80T2E1,320,690,80,true,8074,0,129,2.47409,3107,60.0173
80T2E2,320,694,80,true,8353,0,757,14.5377,3128,60.0157
80T2E3,320,689,80,true,8121,0,872,16.7551,3121,60.0036
80T2E4,320,696,80,true,8084,0,286,5.47812,3142,60.0013
80T2E5,320,690,80,true,7806,0,959,18.4396,3120,60.0157
80T4E1,320,1344,80,true,20646,0,361,8.61827,2496,60.0055
80T4E2,320,1338,80,true,20400,0,118,3.00953,2278,60.0039
80T4E3,320,1335,80,true,20235,0,57,1.61697,2456,60.0174
80T4E4,320,1339,80,true,19621,0,65,1.75754,2364,60.0189
80T4E5,320,1334,80,true,20091,0,297,7.3281,2493,60.0018
80T6E1,320,1936,80,true,34097,0,242,7.02965,2051,60.0056
80T6E2,320,1938,80,true,33138,0,153,4.61541,2021,60.0077
80T6E3,320,1919,80,true,33583,0,334,9.46634,2069,60.0122
80T6E4,320,1961,80,true,34868,0,1030,29.6139,2050,60.0022
80T6E5,320,1941,80,true,33343,0,170,5.4793,1964,60.023
