Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,20,138,2.95763,3060,60.007
20T1E2,320,321,20,true,50,21,1223,24.159,3050,60.0061
20T1E3,320,320,20,true,61,19,132,2.82053,3055,60.0153
20T1E4,320,321,20,true,23,20,137,2.95031,3019,60.001
20T1E5,320,320,20,true,59,20,160,3.39489,3052,60.0053
20T2E1,320,650,20,false,16.0973,78,532,19.9044,1634,60.0009
20T2E2,320,652,20,false,16.0901,68,637,23.932,1631,60.0267
20T2E3,320,648,20,false,17.0811,48,1500,54.0683,1667,60.0141
20T2E4,320,661,20,false,17.0751,38,802,29.7292,1637,60.0109
20T2E5,320,662,20,false,17.0532,42,851,32.0025,1611,60.0261
20T4E1,320,1390,20,false,19,1,831,54.4476,918,60.0596
20T4E2,320,1439,20,false,19,0,859,58.3225,885,60.0506
20T4E3,320,1392,20,false,19,0,624,40.9637,921,60.0615
20T4E4,320,1460,20,false,19,0,783,53.8713,874,60.032
20T4E5,320,1467,20,false,19,1,725,49.8193,877,60.0648
20T6E1,320,2323,20,false,19.0015,49,584,60.0991,584,60.0991
20T6E2,320,2223,20,false,19.0014,44,604,60.0409,604,60.0409
20T6E3,320,2125,20,false,19.0008,21,632,59.8957,634,60.0791
20T6E4,320,2264,20,false,19.0015,48,597,60.0635,597,60.0635
20T6E5,320,2129,20,false,19.0011,34,633,59.852,635,60.0368
40T1E1,320,322,40,true,344,40,160,3.47302,2938,60.0084
40T1E2,320,320,40,true,317,39,2293,46.5888,2957,60.0106
40T1E3,320,322,40,true,179,42,2274,46.2018,2957,60.0037
40T1E4,320,322,40,true,381,41,174,3.80531,2933,60.0073
40T1E5,320,320,40,true,241,40,719,14.7411,2982,60.0041
40T2E1,320,545,40,true,3360,261,1817,58.9838,1849,60.0144
40T2E2,320,537,40,true,3690,251,1310,42.0608,1869,60.0073
40T2E3,320,541,40,true,3496,252,1555,50.1095,1862,60.0061
40T2E4,320,543,40,true,3595,259,1462,47.5675,1843,60.0233
40T2E5,320,540,40,true,3538,255,1832,59.7926,1839,60.0202
40T4E1,320,1226,40,false,39,0,599,35.6984,1015,60.0176
40T4E2,320,1201,40,false,38.5051,609,994,57.7702,1033,60.0098
40T4E3,320,1213,40,false,39,0,657,39.0159,1018,60.0519
40T4E4,320,1227,40,false,38.4888,619,21,1.46903,984,60.042
40T4E5,320,1210,40,false,39,0,533,31.4427,1029,60.0497
40T6E1,320,1906,40,false,39.0005,16,643,56.5448,684,60.037
40T6E2,320,1927,40,false,39.0004,11,684,60.0061,684,60.0061
40T6E3,320,1887,40,false,39.0003,8,673,58.2255,695,60.0835
40T6E4,320,1865,40,false,39.0001,2,676,57.3916,707,60.0197
40T6E5,320,1868,40,false,39.0003,6,667,56.9208,704,60.0138
80T1E1,320,322,80,true,971,81,1012,21.6157,2830,60.011
80T1E2,320,322,80,true,995,81,2489,52.9391,2823,60.0026
80T1E3,320,320,80,true,1186,80,1782,37.6574,2849,60.0154
80T1E4,320,322,80,true,692,81,1697,36.4555,2803,60.007
80T1E5,320,320,80,true,963,80,2345,49.1902,2865,60.016
80T2E1,320,690,80,true,8704,447,1438,57.2802,1507,60.0173
80T2E2,320,694,80,false,38.4224,311,1198,48.0578,1497,60.0338
80T2E3,320,689,80,true,8490,447,1204,48.0482,1505,60.0073
80T2E4,320,696,80,false,7.63335,436,1484,59.7813,1490,60.0233
80T2E5,320,690,80,false,19.555,406,1359,54.2629,1503,60.0201
80T4E1,320,1344,80,false,78.0112,20,786,50.2975,942,60.0501
80T4E2,320,1338,80,false,78.013,17,901,57.7702,937,60.036
80T4E3,320,1335,80,false,78.0173,18,779,49.8552,941,60.0535
80T4E4,320,1339,80,false,78.0226,64,923,59.9453,924,60.0082
80T4E5,320,1334,80,false,78.0144,19,568,36.5971,943,60.0192
80T6E1,320,1936,80,false,79.0002,9,606,52.9365,689,60.0377
80T6E2,320,1938,80,false,79.0003,9,626,54.54,690,60.0053
80T6E3,320,1919,80,false,79.0002,5,691,59.8874,693,60.0562
80T6E4,320,1961,80,false,79.0001,6,644,56.6739,683,60.0379
80T6E5,320,1941,80,false,79.0003,7,667,58.3271,687,60.0361
