Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time
20T1E1,320,320,20,true,162,0,1,0.599931,11,6.40996
20T1E2,320,321,20,true,50,0,1,0.56046,11,6.53024
20T1E3,320,320,20,true,61,0,1,0.607067,10,6.41894
20T1E4,320,321,20,true,23,0,1,1.02657,8,6.54194
20T1E5,320,320,20,true,59,0,1,0.637538,11,6.53464
20T2E1,320,650,20,true,3316,0,2,3.27615,4,6.20681
20T2E2,320,652,20,true,3177,0,5,7.1064,5,7.1064
20T2E3,320,648,20,true,3192,0,5,6.77675,5,6.77675
20T2E4,320,661,20,true,2864,0,5,7.23111,5,7.23111
20T2E5,320,662,20,true,3001,0,5,7.44159,5,7.44159
20T4E1,320,1390,20,true,17018,0,1,3.15162,2,6.08493
20T4E2,320,1439,20,true,18401,0,2,6.23302,2,6.23302
20T4E3,320,1392,20,true,17219,0,1,3.35498,2,6.67522
20T4E4,320,1460,20,true,18064,0,2,6.30029,2,6.30029
20T4E5,320,1467,20,true,17470,0,2,6.44931,2,6.44931
20T6E1,320,2323,20,true,35148,0,2,11.5976,2,11.5976
20T6E2,320,2223,20,true,34507,0,1,5.26595,2,10.3546
20T6E3,320,2125,20,true,33358,0,1,4.75445,2,9.51924
20T6E4,320,2264,20,true,35023,0,2,11.0252,2,11.0252
20T6E5,320,2129,20,true,34657,0,1,4.86101,2,9.71194
40T1E1,320,322,40,true,340,0,2,2.31736,6,7.01002
40T1E2,320,320,40,true,316,0,1,1.46615,5,6.81717
40T1E3,320,322,40,true,179,0,1,1.19063,5,6.73579
40T1E4,320,322,40,true,379,0,1,1.27167,5,6.13807
40T1E5,320,320,40,true,238,0,1,1.16134,6,6.92804
40T2E1,320,545,40,true,3242,0,4,7.45229,4,7.45229
40T2E2,320,537,40,true,3638,0,3,6.74094,3,6.74094
40T2E3,320,541,40,true,3416,0,4,7.51891,4,7.51891
40T2E4,320,543,40,true,3516,0,4,7.77071,4,7.77071
40T2E5,320,540,40,true,3350,0,4,7.16504,4,7.16504
40T4E1,320,1226,40,true,17105,0,1,4.74964,2,9.66536
40T4E2,320,1201,40,true,16852,0,2,9.72866,2,9.72866
40T4E3,320,1213,40,true,17004,0,2,8.90544,2,8.90544
40T4E4,320,1227,40,true,16802,0,2,9.93829,2,9.93829
40T4E5,320,1210,40,true,17872,0,1,4.74564,2,9.34194
40T6E1,320,1906,40,true,33920,0,1,8.36558,1,8.36564
40T6E2,320,1927,40,true,34947,0,1,8.31598,1,8.31602
40T6E3,320,1887,40,true,34277,0,1,8.07165,1,8.07169
40T6E4,320,1865,40,true,34014,0,1,8.09857,1,8.0986
40T6E5,320,1868,40,true,33936,0,1,7.88553,1,7.88557
80T1E1,320,322,80,true,972,0,1,2.63119,3,8.06936
80T1E2,320,322,80,true,996,0,2,4.70535,3,7.05783
80T1E3,320,320,80,true,1186,0,2,4.61345,3,6.93639
80T1E4,320,322,80,true,693,0,3,7.24615,3,7.24616
80T1E5,320,320,80,true,962,0,3,7.14648,3,7.14648
80T2E1,320,690,80,true,8197,0,1,4.39406,2,8.82823
80T2E2,320,694,80,true,8471,0,2,9.01555,2,9.01555
80T2E3,320,689,80,true,8170,0,1,4.69927,2,9.19534
80T2E4,320,696,80,true,8203,0,2,10.1984,2,10.1984
80T2E5,320,690,80,true,7825,0,1,4.58173,2,9.18066
80T4E1,320,1344,80,true,23265,0,1,9.8095,1,9.80952
80T4E2,320,1338,80,true,22823,0,1,9.6938,1,9.69382
80T4E3,320,1335,80,true,22759,0,1,9.27338,1,9.27342
80T4E4,320,1339,80,true,21995,0,1,9.65989,1,9.65992
80T4E5,320,1334,80,true,22537,0,1,8.97145,1,8.97148
80T6E1,320,1936,80,true,39781,0,1,15.4653,1,15.4653
80T6E2,320,1938,80,true,38742,0,1,15.269,1,15.269
80T6E3,320,1919,80,true,38779,0,1,15.6618,1,15.6618
80T6E4,320,1961,80,true,40596,0,1,15.5695,1,15.5695
80T6E5,320,1941,80,true,38781,0,1,15.5785,1,15.5785
