instancia,vertices,arestas,terminais,isolation_custo,isolation_tempo (s),local_search_custo_1_60s,local_search_tempo_1_60s (s),local_search_custo_1_final,local_search_tempo_1_final (s),local_search_custo_2_60s,local_search_tempo_2_60s (s),local_search_custo_2_final,local_search_tempo_2_final (s),local_search_custo_3_60s,local_search_tempo_3_60s (s),local_search_custo_3_final,local_search_tempo_3_final (s)
N1280_M2N_K160_1,1280,3050,160,17451.0,0.394289787,21130.0,60.73169750300001,16825.0,233.502453299,17393.0,60.371584529,16823.0,237.306057161,16901.0,61.280503694,16826.0,218.317008182
N1280_M2N_K160_2,1280,3051,160,17123.0,0.447025566,21026.0,60.405372047,16408.0,273.284450037,17118.0,63.105988903,16404.0,294.273651531,16549.0,61.421866542000004,16405.0,293.011538098
N1280_M2N_K160_3,1280,3038,160,16679.0,0.478980804,20605.0,60.469108458,16173.0,270.906099048,16693.0,60.378288861,16174.0,186.568161847,16291.0,60.423178837,16169.0,265.276994312
N1280_M2N_K320_1,1280,2752,320,18877.0,0.578927013,27913.0,60.276656612,16379.0,506.49221381599995,18424.0,60.488639248,16379.0,338.79110906799997,17296.0,60.331257354,16379.0,331.133371335
N1280_M2N_K320_2,1280,2757,320,18044.0,0.452531265,27354.0,60.143783984,15598.0,385.256551367,17775.0,60.325749081000005,15599.0,369.85447809699997,16484.0,60.130474393,15599.0,271.11734984099996
N1280_M2N_K320_3,1280,2749,320,17802.0,0.465691381,27393.0,61.052012950999995,15831.0,472.907665086,18100.0,60.202795558999995,15830.0,338.165872045,16398.0,60.016924486,15830.0,267.16044787799996
N1280_M2N_K80_1,1280,3491,80,16163.0,0.446207145,15326.0,60.518391936,13539.0,130.993969348,14003.0,60.000044559,13519.0,104.296956232,13589.0,60.187126571,13519.0,109.648356881
N1280_M2N_K80_2,1280,3491,80,16645.0,0.477695779,16344.0,60.566032045,13822.0,142.32832289499999,14600.0,61.605110771,13795.0,132.242773223,13946.0,60.592748379,13800.0,137.479678808
N1280_M2N_K80_3,1280,3502,80,16548.0,0.291660037,16103.0,60.529328141,13620.0,136.731033172,14514.0,60.064644089,13597.0,157.553216117,13671.0,61.651876021,13612.0,100.446290046
N1280_M4N_K160_1,1280,5274,160,20670.0,0.536883634,29220.0,61.19842342,17223.0,601.85891298,19820.0,61.080742229,17206.0,631.28297305,19600.0,62.925170184,17208.0,614.567381738
N1280_M4N_K160_2,1280,5273,160,20775.0,0.555959693,28771.0,60.034627936999996,17402.0,605.455232989,20048.0,60.793971444,17401.0,610.473599881,19496.0,60.551202377,17400.0,602.070724316
N1280_M4N_K160_3,1280,5271,160,21240.0,0.609935192,28234.0,60.975759196,16945.0,611.659249566,18920.0,60.671420751999996,16935.0,661.6292639549999,19355.0,61.021656213,16945.0,603.367711686
N1280_M4N_K320_1,1280,5114,320,42262.0,0.689563106,51885.0,60.818776512999996,34620.0,600.771557472,38048.0,64.427729092,32500.0,602.92840188,40110.0,61.097588096,31289.0,601.400064866
N1280_M4N_K320_2,1280,5110,320,41874.0,0.715624368,51602.0,61.621254401,34281.0,601.374674294,37806.0,61.818157648,32272.0,600.407083769,39871.0,60.661500808,31527.0,600.355309114
N1280_M4N_K320_3,1280,5100,320,43189.0,0.728736546,52853.0,60.836646544000004,34627.0,601.298755788,37817.0,60.325901191,32569.0,600.619317497,40791.0,60.237413724,32314.0,601.357353452
N1280_M4N_K80_1,1280,5593,80,19488.0,0.511509383,22670.0,60.920912582999996,18277.0,317.899706759,19311.0,61.993410896,18273.0,339.77422482000003,18862.0,61.5053556,18278.0,363.53877514600003
N1280_M4N_K80_2,1280,5542,80,17679.0,0.45183956,20976.0,61.933311435,16795.0,403.064558195,17685.0,61.572719088999996,16798.0,277.644230959,17225.0,63.733396534,16806.0,277.944457641
N1280_M4N_K80_3,1280,5588,80,19590.0,0.420548098,22688.0,61.251185035,18451.0,340.615164091,19566.0,63.659082455000004,18439.0,329.706045325,19021.0,60.783239967,18440.0,263.5023673
N1280_M8N_K160_1,1280,10181,160,51457.0,0.664281012,55938.0,62.888800205,47085.0,603.2091372579999,44606.0,121.577210415,42986.0,603.003007534,50373.0,66.094122892,43882.0,604.276490081
N1280_M8N_K160_2,1280,10184,160,50626.0,0.716876207,57016.0,64.824739189,47559.0,603.625729098,44174.0,64.139854334,42672.0,604.980747541,49386.0,69.310125223,43496.0,603.9174403640001
N1280_M8N_K160_3,1280,10178,160,50715.0,0.750743253,56462.0,65.963395833,47687.0,604.1972145389999,43813.0,75.68313126199999,42648.0,604.919489806,49665.0,62.711470182999996,42990.0,607.197760283
N1280_M8N_K320_1,1280,10185,320,104989.0,0.864017285,107772.0,65.39314399,99471.0,604.301275016,92395.0,70.371616691,91319.0,607.579816652,103561.0,67.761456954,95825.0,608.488078069
N1280_M8N_K320_2,1280,10181,320,106395.0,0.849201951,108312.0,67.14219824199999,100353.0,608.1707800800001,93063.0,69.82276732499999,91950.0,610.823764678,105127.0,63.919090346,97629.0,602.375729881
N1280_M8N_K320_3,1280,10174,320,106205.0,0.891625372,109286.0,62.493170809000006,100468.0,609.463519663,93424.0,81.981108192,92359.0,603.1299674850001,105204.0,67.635047713,97270.0,610.113907621
N1280_M8N_K80_1,1280,10297,80,25570.0,0.575483573,29764.0,62.538913310000005,20932.0,608.3489349050001,23422.0,68.00731572,21776.0,604.801173771,24301.0,64.854670196,21162.0,601.402186978
N1280_M8N_K80_2,1280,10281,80,25790.0,0.623323667,30051.0,60.142239344000004,20898.0,601.386965912,23304.0,80.608384445,21596.0,600.8615589609999,24739.0,63.986392565,21052.0,600.006777108
N1280_M8N_K80_3,1280,10296,80,26112.0,0.589862671,30348.0,62.047764844,21134.0,604.25447173,23961.0,81.922606023,21834.0,609.035529248,25418.0,60.269705103,21339.0,603.6187453809999
N2560_M2N_K160_1,2560,7017,160,34074.0,0.690267313,57486.0,61.593374850000004,29449.0,601.43075624,33030.0,60.833457344,28416.0,601.863218612,32342.0,62.904281167,28123.0,618.67165937
