Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,True,17518,0,2408,246.795,5843,600.013,1271039
N1280K80M4N2,1280,5405,120,True,17524,0,1292,131.084,5886,600.001,1271039
N1280K80M4N3,1280,5433,120,True,18212,0,5026,543.306,5550,600.005,1271039
N1280K80M4N4,1280,5438,120,True,17965,0,3775,384.754,5882,600.009,1271039
N1280K80M4N5,1280,5467,120,True,18416,0,2037,206.678,5901,600.1,1271039
N160K20M4N1,160,649,20,True,2152,0,210,2.83881,45040,600.012,1271039
N160K20M4N2,160,651,20,True,2042,0,6905,93.1623,44559,600.003,1271039
N160K20M4N3,160,653,20,True,1875,0,741,10.3431,43455,600.008,1271039
N160K20M4N4,160,644,20,True,2010,0,8930,116.922,46105,600.001,1271039
N160K20M4N5,160,660,20,True,2086,0,106,1.43231,44284,600.005,1271039
N2560K160M4N1,2560,10879,240,True,35731,0,2669,583.897,2743,600.144,1271039
N2560K160M4N2,2560,10894,240,True,35938,0,2526,556.137,2725,600.129,1271039
N2560K160M4N3,2560,10877,240,True,35237,0,2685,579.207,2782,600.204,1271039
N2560K160M4N4,2560,10873,240,True,36471,0,2730,579.258,2828,600.195,1271039
N2560K160M4N5,2560,10917,240,True,37933,0,2738,585.768,2805,600.126,1271039
N320K40M4N1,320,1309,40,True,4185,0,18931,468.478,24321,600.006,1271039
N320K40M4N2,320,1307,40,True,4016,0,11213,285.803,23609,600.008,1271039
N320K40M4N3,320,1311,40,True,4477,0,22059,558.064,23713,600.016,1271039
N320K40M4N4,320,1306,40,True,3937,0,271,6.74049,24131,600.008,1271039
N320K40M4N5,320,1311,40,True,4352,0,11293,295.231,23028,600.025,1271039
N5120K320M4N1,5120,21775,480,True,71315,0,1283,598.824,1286,600.228,1271039
N5120K320M4N2,5120,21803,480,True,72242,0,1289,599.727,1290,600.193,1271039
N640K80M4N1,640,2615,80,True,8462,0,2355,122.936,11470,600.019,1271039
N640K80M4N2,640,2636,80,True,8302,0,6268,320.161,11765,600.036,1271039
N640K80M4N3,640,2623,80,True,8496,0,535,26.7003,11981,600.039,1271039
N640K80M4N4,640,2624,80,True,8360,0,10943,556.716,11798,600.042,1271039
N640K80M4N5,640,2612,80,True,8455,0,11879,597.872,11922,600.021,1271039
N1280K80M4N1,1280,5419,120,True,17515,0,3282,337.669,5825,600.042,1328963
N1280K80M4N2,1280,5405,120,True,17525,0,845,86.5723,5828,600.059,1328963
N1280K80M4N3,1280,5433,120,True,18217,0,1156,123.113,5560,600.047,1328963
N1280K80M4N4,1280,5438,120,True,17974,0,4511,464.073,5822,600.089,1328963
N1280K80M4N5,1280,5467,120,True,18420,0,1892,193.964,5830,600.033,1328963
N160K20M4N1,160,649,20,True,2152,0,786,10.8543,44789,600.008,1328963
N160K20M4N2,160,651,20,True,2041,0,19206,263.771,43696,600.009,1328963
N160K20M4N3,160,653,20,True,1868,0,40558,570.18,42631,600.01,1328963
N160K20M4N4,160,644,20,True,2010,0,16797,225.201,44975,600.007,1328963
N160K20M4N5,160,660,20,True,2086,0,137,2.07995,44470,600.004,1328963
N2560K160M4N1,2560,10879,240,True,35736,0,2691,599.399,2694,600.06,1328963
N2560K160M4N2,2560,10894,240,True,35960,0,2429,588.397,2482,600.178,1328963
N2560K160M4N3,2560,10877,240,True,35850,0,2441,586.532,2501,600.198,1328963
N2560K160M4N4,2560,10873,240,True,36473,0,2163,494.158,2623,600.063,1328963
N2560K160M4N5,2560,10917,240,True,37520,0,2429,556.779,2619,600.045,1328963
N320K40M4N1,320,1309,40,True,4186,0,444,11.4774,22524,600.016,1328963
N320K40M4N2,320,1307,40,True,4018,0,1750,51.4064,22637,600.018,1328963
