Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,True,18399,2852,121,60.1108,121,60.1108,1271039
N1280K80M4N2,1280,5405,120,True,18471,3075,120,59.581,121,60.0766,1271039
N1280K80M4N3,1280,5433,120,True,19086,3175,118,59.3375,120,60.3419,1271039
N1280K80M4N4,1280,5438,120,True,18878,2931,120,59.9488,121,60.4476,1271039
N1280K80M4N5,1280,5467,120,True,19268,2149,115,57.7187,120,60.2244,1271039
N160K20M4N1,160,649,20,True,2156,267,186,10.5061,1066,60.0179,1271039
N160K20M4N2,160,651,20,True,2033,165,161,9.07906,1068,60.052,1271039
N160K20M4N3,160,653,20,True,1868,151,125,7.05134,1070,60.0486,1271039
N160K20M4N4,160,644,20,True,2006,388,154,8.72347,1062,60.0384,1271039
N160K20M4N5,160,660,20,True,2073,323,375,21.8541,1031,60.0202,1271039
N2560K160M4N1,2560,10879,240,True,41780,6649,57,60.7582,57,60.7582,1271039
N2560K160M4N2,2560,10894,240,True,42145,7303,56,59.6663,57,60.7317,1271039
N2560K160M4N3,2560,10877,240,True,40823,6773,57,60.4367,57,60.4367,1271039
N2560K160M4N4,2560,10873,240,True,42802,5852,57,60.8001,57,60.8001,1271039
N2560K160M4N5,2560,10917,240,True,42201,5246,57,60.7539,57,60.7539,1271039
N320K40M4N1,320,1309,40,True,4187,351,460,52.6664,525,60.0987,1271039
N320K40M4N2,320,1307,40,True,4004,416,248,28.1843,530,60.0781,1271039
N320K40M4N3,320,1311,40,True,4472,410,407,46.4802,526,60.0511,1271039
N320K40M4N4,320,1306,40,True,3952,391,311,35.4339,527,60.0389,1271039
N320K40M4N5,320,1311,40,True,4343,732,270,30.8533,526,60.0782,1271039
N5120K320M4N1,5120,21775,480,True,89435,16199,28,61.7661,28,61.7661,1271039
N5120K320M4N2,5120,21803,480,True,90607,15333,27,59.6591,28,61.8689,1271039
N640K80M4N1,640,2615,80,True,8482,1295,249,58.2229,257,60.0943,1271039
N640K80M4N2,640,2636,80,True,8330,1006,253,59.4189,256,60.1215,1271039
N640K80M4N3,640,2623,80,True,8504,963,256,59.8573,257,60.0911,1271039
N640K80M4N4,640,2624,80,True,8381,1338,257,60.0052,257,60.0052,1271039
N640K80M4N5,640,2612,80,True,8458,1610,259,60.1023,259,60.1023,1271039
N1280K80M4N1,1280,5419,120,True,18385,2052,121,60.0799,121,60.0799,1328963
N1280K80M4N2,1280,5405,120,True,18439,3481,121,60.0637,121,60.0637,1328963
N1280K80M4N3,1280,5433,120,True,19017,2912,121,60.1946,121,60.1946,1328963
N1280K80M4N4,1280,5438,120,True,18865,1827,121,60.3235,121,60.3235,1328963
N1280K80M4N5,1280,5467,120,True,19279,2924,120,60.1552,120,60.1552,1328963
N160K20M4N1,160,649,20,True,2164,163,148,8.35792,1065,60.0201,1328963
N160K20M4N2,160,651,20,True,2034,159,497,27.8786,1071,60.0512,1328963
N160K20M4N3,160,653,20,True,1867,160,132,7.43709,1069,60.0403,1328963
N160K20M4N4,160,644,20,True,2006,295,128,7.24684,1061,60.0334,1328963
N160K20M4N5,160,660,20,True,2075,150,235,13.6103,1038,60.0077,1328963
N2560K160M4N1,2560,10879,240,True,41639,7341,55,58.4898,57,60.6153,1328963
N2560K160M4N2,2560,10894,240,True,42055,7996,55,58.652,57,60.7809,1328963
N2560K160M4N3,2560,10877,240,True,41037,7584,55,58.5278,57,60.6548,1328963
N2560K160M4N4,2560,10873,240,True,42526,7118,56,59.4979,57,60.5589,1328963
N2560K160M4N5,2560,10917,240,True,42419,7049,55,58.8844,57,61.0245,1328963
N320K40M4N1,320,1309,40,True,4186,551,295,33.7267,526,60.0605,1328963
N320K40M4N2,320,1307,40,True,4004,419,225,25.6043,529,60.0722,1328963
N320K40M4N3,320,1311,40,True,4468,711,505,57.7586,525,60.0394,1328963
N320K40M4N4,320,1306,40,True,3951,401,437,49.6663,529,60.1126,1328963
N320K40M4N5,320,1311,40,True,4345,696,525,59.9023,526,60.0162,1328963
N5120K320M4N1,5120,21775,480,True,89419,15307,28,61.8163,28,61.8164,1328963
N5120K320M4N2,5120,21803,480,True,90381,12262,28,61.8516,28,61.8516,1328963
N640K80M4N1,640,2615,80,True,8489,1013,258,60.2232,258,60.2232,1328963
N640K80M4N2,640,2636,80,True,8339,1709,251,60.1783,251,60.1783,1328963
N640K80M4N3,640,2623,80,True,8517,1184,248,57.9661,257,60.0649,1328963
N640K80M4N4,640,2624,80,True,8390,933,257,60.1152,257,60.1152,1328963
N640K80M4N5,640,2612,80,True,8456,1409,258,59.8894,259,60.121,1328963
N1280K80M4N1,1280,5419,120,True,18484,3147,121,60.0541,121,60.0541,1694354
N1280K80M4N2,1280,5405,120,True,18414,3319,120,59.4145,122,60.4033,1694354
N1280K80M4N3,1280,5433,120,True,19118,3016,121,60.2538,121,60.2538,1694354
N1280K80M4N4,1280,5438,120,True,18884,1966,117,58.5626,120,60.0641,1694354
N1280K80M4N5,1280,5467,120,True,19314,3007,120,60.2841,120,60.2841,1694354
N160K20M4N1,160,649,20,True,2154,191,755,42.5259,1067,60.0411,1694354
N160K20M4N2,160,651,20,True,2036,285,335,18.8366,1070,60.0375,1694354
N160K20M4N3,160,653,20,True,1868,187,121,6.87114,1067,60.0145,1694354
N160K20M4N4,160,644,20,True,2006,326,332,18.7592,1064,60.0233,1694354
