Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,True,17693,2757,1169,584.492,1201,600.484,1271039
N1280K80M4N2,1280,5405,120,True,17765,2475,1022,567.583,1081,600.335,1271039
N1280K80M4N3,1280,5433,120,True,18316,2577,1119,563.257,1193,600.476,1271039
N1280K80M4N4,1280,5438,120,True,18182,1471,1114,561.331,1191,600.12,1271039
N1280K80M4N5,1280,5467,120,True,18561,3441,1150,581.97,1186,600.174,1271039
N160K20M4N1,160,649,20,True,2157,221,10340,590.02,10516,600.051,1271039
N160K20M4N2,160,651,20,True,2033,164,834,47.3688,10603,600.056,1271039
N160K20M4N3,160,653,20,True,1868,154,133,7.71599,10520,600.046,1271039
N160K20M4N4,160,644,20,True,2006,202,200,11.5418,10530,600.019,1271039
N160K20M4N5,160,660,20,True,2075,189,145,8.68602,10223,600.038,1271039
N2560K160M4N1,2560,10879,240,True,36435,6695,558,600.424,558,600.424,1271039
N2560K160M4N2,2560,10894,240,True,36510,5920,559,599.738,560,600.809,1271039
N2560K160M4N3,2560,10877,240,True,35658,6703,557,597.802,560,601.03,1271039
N2560K160M4N4,2560,10873,240,True,36984,6324,558,600.537,558,600.537,1271039
N2560K160M4N5,2560,10917,240,True,37014,5853,555,597.682,558,600.91,1271039
N320K40M4N1,320,1309,40,True,4186,557,4401,509.542,5184,600.094,1271039
N320K40M4N2,320,1307,40,True,4001,448,519,59.7463,5230,600.095,1271039
N320K40M4N3,320,1311,40,True,4468,690,402,46.64,5192,600.074,1271039
N320K40M4N4,320,1306,40,True,3954,316,263,30.3814,5216,600.078,1271039
N320K40M4N5,320,1311,40,True,4343,480,2722,314.73,5187,600.101,1271039
N5120K320M4N1,5120,21775,480,True,75204,15562,265,600.651,265,600.651,1271039
N5120K320M4N2,5120,21803,480,True,75955,13386,267,596.511,269,600.979,1271039
N640K80M4N1,640,2615,80,True,8460,1245,1071,252.138,2551,600.124,1271039
N640K80M4N2,640,2636,80,True,8308,807,2340,553.455,2538,600.217,1271039
N640K80M4N3,640,2623,80,True,8472,1521,2409,570.864,2533,600.207,1271039
N640K80M4N4,640,2624,80,True,8354,817,1577,371.562,2549,600.218,1271039
N640K80M4N5,640,2612,80,True,8433,1486,2493,587.162,2548,600.094,1271039
N1280K80M4N1,1280,5419,120,True,17690,1744,1199,598.008,1203,600.003,1328963
N1280K80M4N2,1280,5405,120,True,17748,2755,1189,595.067,1199,600.083,1328963
N1280K80M4N3,1280,5433,120,True,18314,2491,1113,557.11,1199,600.167,1328963
N1280K80M4N4,1280,5438,120,True,18177,2077,1089,547.694,1194,600.363,1328963
N1280K80M4N5,1280,5467,120,True,18567,1650,1087,549.002,1189,600.456,1328963
N160K20M4N1,160,649,20,True,2157,204,1443,82.2529,10529,600.046,1328963
N160K20M4N2,160,651,20,True,2033,159,1043,59.1973,10589,600.033,1328963
N160K20M4N3,160,653,20,True,1867,163,1128,64.1127,10563,600.012,1328963
N160K20M4N4,160,644,20,True,2006,308,159,9.17207,10470,600.05,1328963
N160K20M4N5,160,660,20,True,2074,152,604,35.3436,10251,600.042,1328963
N2560K160M4N1,2560,10879,240,True,36425,7091,559,598.246,561,600.387,1328963
N2560K160M4N2,2560,10894,240,True,36514,4655,558,596.338,562,600.602,1328963
N2560K160M4N3,2560,10877,240,True,35644,7397,562,600.097,562,600.097,1328963
N2560K160M4N4,2560,10873,240,True,36955,6965,556,597.384,559,600.603,1328963
N2560K160M4N5,2560,10917,240,True,36989,5747,559,599.763,560,600.835,1328963
N320K40M4N1,320,1309,40,True,4183,603,3236,373.732,5198,600.072,1328963
N320K40M4N2,320,1307,40,True,4002,583,526,60.3542,5240,600.086,1328963
N320K40M4N3,320,1311,40,True,4470,594,279,32.2508,5210,600.101,1328963
N320K40M4N4,320,1306,40,True,3951,326,445,51.0585,5239,600.088,1328963
N320K40M4N5,320,1311,40,True,4343,370,2831,328.093,5180,600.034,1328963
N5120K320M4N1,5120,21775,480,True,74739,15377,270,599.401,271,601.619,1328963
N5120K320M4N2,5120,21803,480,True,75870,14558,267,594.863,270,601.522,1328963
N640K80M4N1,640,2615,80,True,8462,1267,1138,267.586,2554,600.189,1328963
N640K80M4N2,640,2636,80,True,8303,1075,1072,253.585,2539,600.093,1328963
N640K80M4N3,640,2623,80,True,8477,722,586,154.305,2308,600.246,1328963
N640K80M4N4,640,2624,80,True,8355,927,1729,447.605,2313,600.215,1328963
N640K80M4N5,640,2612,80,True,8436,1227,762,195.417,2483,600.229,1328963
N1280K80M4N1,1280,5419,120,True,17693,3199,1076,538.775,1199,600.325,1694354
N1280K80M4N2,1280,5405,120,True,17757,1274,1157,578.555,1200,600.059,1694354
N1280K80M4N3,1280,5433,120,True,18315,3179,1182,594.722,1193,600.26,1694354
N1280K80M4N4,1280,5438,120,True,18172,1842,994,501.0,1191,600.281,1694354
N1280K80M4N5,1280,5467,120,True,18579,2274,1035,524.828,1184,600.272,1694354
N160K20M4N1,160,649,20,True,2156,163,282,16.214,10522,600.007,1694354
N160K20M4N2,160,651,20,True,2037,162,154,8.87962,10573,600.02,1694354
N160K20M4N3,160,653,20,True,1867,155,146,8.45799,10530,600.051,1694354
N160K20M4N4,160,644,20,True,2006,350,215,12.4855,10449,600.008,1694354
N160K20M4N5,160,660,20,True,2073,252,973,57.1788,10227,600.044,1694354
N2560K160M4N1,2560,10879,240,True,36425,6423,550,591.621,558,600.224,1694354
N2560K160M4N2,2560,10894,240,True,36465,6746,557,598.71,559,600.855,1694354
N2560K160M4N3,2560,10877,240,True,35669,3006,558,598.872,560,601.015,1694354
N2560K160M4N4,2560,10873,240,True,36974,6111,556,598.448,558,600.6,1694354
N2560K160M4N5,2560,10917,240,True,37011,4270,554,598.588,556,600.742,1694354
N320K40M4N1,320,1309,40,True,4188,764,326,37.8186,5189,600.036,1694354
N320K40M4N2,320,1307,40,True,4004,543,4922,563.73,5239,600.014,1694354
N320K40M4N3,320,1311,40,True,4468,368,396,45.9883,5191,600.098,1694354
N320K40M4N4,320,1306,40,True,3943,446,446,51.5935,5204,600.023,1694354
N320K40M4N5,320,1311,40,True,4343,342,216,25.129,5182,600.049,1694354
N5120K320M4N1,5120,21775,480,True,75209,14439,266,599.725,267,601.978,1694354
N5120K320M4N2,5120,21803,480,True,75683,13822,269,601.386,269,601.386,1694354
N640K80M4N1,640,2615,80,True,8458,1142,1098,258.484,2552,600.121,1694354
N640K80M4N2,640,2636,80,True,8304,1024,480,113.998,2535,600.182,1694354
N640K80M4N3,640,2623,80,True,8476,1510,589,139.41,2524,600.2,1694354
N640K80M4N4,640,2624,80,True,8354,1480,629,152.762,2528,600.17,1694354
N640K80M4N5,640,2612,80,True,8438,1194,416,98.0509,2552,600.005,1694354
N1280K80M4N1,1280,5419,120,True,17689,2321,1162,581.389,1200,600.388,1884283
N1280K80M4N2,1280,5405,120,True,17753,1358,1007,503.76,1200,600.185,1884283
N1280K80M4N3,1280,5433,120,True,18317,2893,1101,554.116,1193,600.384,1884283
N1280K80M4N4,1280,5438,120,True,18178,2023,1182,594.892,1193,600.417,1884283
N1280K80M4N5,1280,5467,120,True,18576,2546,1012,511.628,1188,600.454,1884283
N160K20M4N1,160,649,20,True,2154,174,547,31.433,10515,600.013,1884283
N160K20M4N2,160,651,20,True,2033,178,282,16.1772,10589,600.01,1884283
N160K20M4N3,160,653,20,True,1867,163,577,33.0641,10523,600.044,1884283
N160K20M4N4,160,644,20,True,2006,206,153,8.88063,10506,600.045,1884283
N160K20M4N5,160,660,20,True,2074,183,3474,203.2,10267,600.029,1884283
N2560K160M4N1,2560,10879,240,True,36406,6213,557,598.84,559,600.984,1884283
N2560K160M4N2,2560,10894,240,True,36500,4621,556,598.843,558,600.995,1884283
N2560K160M4N3,2560,10877,240,True,35683,6767,555,595.114,560,600.467,1884283
N2560K160M4N4,2560,10873,240,True,36975,6253,558,599.893,559,600.968,1884283
N2560K160M4N5,2560,10917,240,True,36985,6865,555,597.479,558,600.704,1884283
N320K40M4N1,320,1309,40,True,4184,351,4720,545.484,5193,600.103,1884283
N320K40M4N2,320,1307,40,True,4001,474,2818,322.974,5240,600.062,1884283
N320K40M4N3,320,1311,40,True,4469,413,237,27.5695,5180,600.068,1884283
N320K40M4N4,320,1306,40,True,3947,609,2426,279.105,5220,600.005,1884283
N320K40M4N5,320,1311,40,True,4343,682,367,42.5427,5186,600.024,1884283
N5120K320M4N1,5120,21775,480,True,74956,15618,269,601.464,269,601.464,1884283
N5120K320M4N2,5120,21803,480,True,75965,13776,267,598.096,268,600.33,1884283
N640K80M4N1,640,2615,80,True,8461,1296,2335,548.982,2553,600.23,1884283
N640K80M4N2,640,2636,80,True,8305,908,1513,358.894,2530,600.037,1884283
N640K80M4N3,640,2623,80,True,8478,808,1548,365.181,2544,600.01,1884283
N640K80M4N4,640,2624,80,True,8355,1660,1615,380.866,2545,600.002,1884283
N640K80M4N5,640,2612,80,True,8437,1407,801,188.145,2559,600.151,1884283
N1280K80M4N1,1280,5419,120,True,17687,2861,1152,577.179,1198,600.203,1887782
N1280K80M4N2,1280,5405,120,True,17749,2387,1163,580.809,1202,600.241,1887782
N1280K80M4N3,1280,5433,120,True,18320,3216,1081,544.961,1191,600.161,1887782
N1280K80M4N4,1280,5438,120,True,18173,2991,1122,566.201,1189,600.006,1887782
N1280K80M4N5,1280,5467,120,True,18575,1740,1009,510.966,1186,600.462,1887782
N160K20M4N1,160,649,20,True,2164,303,1538,88.2147,10474,600.057,1887782
N160K20M4N2,160,651,20,True,2033,167,145,8.3611,10584,600.004,1887782
N160K20M4N3,160,653,20,True,1867,154,120,7.08572,10350,600.053,1887782
N160K20M4N4,160,644,20,True,2006,171,1639,93.8018,10516,600.041,1887782
N160K20M4N5,160,660,20,True,2074,260,371,21.9249,9890,600.074,1887782
N2560K160M4N1,2560,10879,240,True,36444,4104,521,600.569,521,600.569,1887782
N2560K160M4N2,2560,10894,240,True,36574,3112,532,597.708,535,600.975,1887782
N2560K160M4N3,2560,10877,240,True,35694,5110,557,600.912,557,600.912,1887782
N2560K160M4N4,2560,10873,240,True,36987,6457,559,600.75,559,600.75,1887782
N2560K160M4N5,2560,10917,240,True,36965,7572,554,599.749,555,600.822,1887782
N320K40M4N1,320,1309,40,True,4185,443,464,53.8893,5123,600.105,1887782
N320K40M4N2,320,1307,40,True,4002,728,333,38.9816,5175,600.07,1887782
N320K40M4N3,320,1311,40,True,4468,342,526,61.9259,5142,600.027,1887782
N320K40M4N4,320,1306,40,True,3952,705,408,47.0184,5200,600.007,1887782
N320K40M4N5,320,1311,40,True,4345,354,2106,246.892,5135,600.077,1887782
N5120K320M4N1,5120,21775,480,True,75144,15101,268,599.723,269,601.946,1887782
N5120K320M4N2,5120,21803,480,True,75847,15893,266,600.985,266,600.985,1887782
N640K80M4N1,640,2615,80,True,8462,1377,1880,450.363,2508,600.087,1887782
N640K80M4N2,640,2636,80,True,8304,1433,1731,412.817,2505,600.171,1887782
N640K80M4N3,640,2623,80,True,8478,700,2130,508.202,2518,600.02,1887782
N640K80M4N4,640,2624,80,True,8358,1379,1688,402.389,2515,600.098,1887782
N640K80M4N5,640,2612,80,True,8434,1439,2356,557.449,2533,600.187,1887782
