Instance,Nodes,Edges,Terminals,Valid Solution,Best cost,Num edges cut,Last update iteration,Last update time,Final iteration,Final time,seed
N1280K80M4N1,1280,5419,120,True,17690,3282,1188,597.443,1194,600.48,1271039
N1280K80M4N2,1280,5405,120,True,17756,2334,1111,556.041,1200,600.169,1271039
N1280K80M4N3,1280,5433,120,True,18320,1815,1171,588.793,1194,600.487,1271039
N1280K80M4N4,1280,5438,120,True,18176,2209,1113,568.057,1176,600.223,1271039
N1280K80M4N5,1280,5467,120,True,18572,1530,1127,576.71,1173,600.21,1271039
N160K20M4N1,160,649,20,True,2156,267,186,10.5388,10522,600.047,1271039
N160K20M4N2,160,651,20,True,2033,165,161,9.08828,10635,600.026,1271039
N160K20M4N3,160,653,20,True,1868,151,125,7.11882,10496,600.045,1271039
N160K20M4N4,160,644,20,True,2006,388,154,8.74228,10571,600.054,1271039
N160K20M4N5,160,660,20,True,2073,323,375,21.7884,10272,600.047,1271039
N2560K160M4N1,2560,10879,240,True,36427,6380,556,594.734,561,600.043,1271039
N2560K160M4N2,2560,10894,240,True,36512,6970,546,598.198,548,600.397,1271039
N2560K160M4N3,2560,10877,240,True,35655,3058,566,600.386,566,600.386,1271039
N2560K160M4N4,2560,10873,240,True,36969,7056,552,597.313,555,600.491,1271039
N2560K160M4N5,2560,10917,240,True,36963,4869,555,597.75,558,601.052,1271039
N320K40M4N1,320,1309,40,True,4184,782,1310,149.862,5179,600.026,1271039
N320K40M4N2,320,1307,40,True,4003,775,2101,245.29,5142,600.003,1271039
N320K40M4N3,320,1311,40,True,4470,701,2053,235.676,5186,600.061,1271039
N320K40M4N4,320,1306,40,True,3952,391,311,36.6924,5108,600.068,1271039
N320K40M4N5,320,1311,40,True,4343,732,270,31.8211,5209,600.099,1271039
N5120K320M4N1,5120,21775,480,True,75120,15319,267,601.112,267,601.112,1271039
N5120K320M4N2,5120,21803,480,True,75695,15686,272,600.629,272,600.629,1271039
N640K80M4N1,640,2615,80,True,8456,1251,973,229.026,2503,600.121,1271039
N640K80M4N2,640,2636,80,True,8306,1088,443,104.815,2534,600.201,1271039
N640K80M4N3,640,2623,80,True,8477,1682,1657,391.05,2524,600.213,1271039
N640K80M4N4,640,2624,80,True,8356,771,659,154.08,2531,600.045,1271039
N640K80M4N5,640,2612,80,True,8434,1698,491,114.062,2589,600.124,1271039
N1280K80M4N1,1280,5419,120,True,17681,2596,984,492.507,1198,600.142,1328963
N1280K80M4N2,1280,5405,120,True,17750,1406,1102,559.733,1184,600.343,1328963
N1280K80M4N3,1280,5433,120,True,18319,2036,1166,596.533,1173,600.017,1328963
N1280K80M4N4,1280,5438,120,True,18182,3056,1163,593.498,1176,600.192,1328963
N1280K80M4N5,1280,5467,120,True,18580,1536,1071,546.884,1175,600.242,1328963
N160K20M4N1,160,649,20,True,2160,167,9976,570.255,10490,600.005,1328963
N160K20M4N2,160,651,20,True,2033,157,2392,136.378,10644,600.014,1328963
N160K20M4N3,160,653,20,True,1867,160,132,7.47943,10508,600.01,1328963
N160K20M4N4,160,644,20,True,2006,295,128,7.35919,10449,600.051,1328963
N160K20M4N5,160,660,20,True,2075,150,235,13.8487,10286,600.055,1328963
N2560K160M4N1,2560,10879,240,True,36475,6936,546,599.175,547,600.273,1328963
N2560K160M4N2,2560,10894,240,True,36516,6448,554,598.506,556,600.631,1328963
N2560K160M4N3,2560,10877,240,True,35674,5915,551,600.723,551,600.723,1328963
N2560K160M4N4,2560,10873,240,True,36954,6402,553,600.815,553,600.815,1328963
N2560K160M4N5,2560,10917,240,True,36972,5049,548,600.708,548,600.708,1328963
N320K40M4N1,320,1309,40,True,4185,606,2060,236.52,5217,600.055,1328963
N320K40M4N2,320,1307,40,True,4002,330,576,65.639,5208,600.092,1328963
N320K40M4N3,320,1311,40,True,4467,612,2745,315.509,5204,600.114,1328963
N320K40M4N4,320,1306,40,True,3951,401,437,51.4999,5168,600.092,1328963
N320K40M4N5,320,1311,40,True,4345,696,525,60.352,5171,600.04,1328963
N5120K320M4N1,5120,21775,480,True,75056,15742,271,599.505,272,601.725,1328963
N5120K320M4N2,5120,21803,480,True,75739,13678,271,597.413,273,601.819,1328963
N640K80M4N1,640,2615,80,True,8461,1415,871,209.593,2505,600.176,1328963
N640K80M4N2,640,2636,80,True,8305,1115,985,236.421,2527,600.154,1328963
N640K80M4N3,640,2623,80,True,8479,1183,2387,565.56,2530,600.073,1328963
N640K80M4N4,640,2624,80,True,8354,1475,1635,384.551,2538,600.096,1328963
N640K80M4N5,640,2612,80,True,8434,1013,589,139.024,2528,600.149,1328963
N1280K80M4N1,1280,5419,120,True,17689,3172,1093,551.752,1189,600.1,1694354
N1280K80M4N2,1280,5405,120,True,17748,2627,1070,533.869,1203,600.341,1694354
N1280K80M4N3,1280,5433,120,True,18321,2720,1033,517.596,1196,600.393,1694354
N1280K80M4N4,1280,5438,120,True,18182,2574,1184,599.105,1186,600.111,1694354
N1280K80M4N5,1280,5467,120,True,18572,3213,1141,579.332,1182,600.125,1694354
N160K20M4N1,160,649,20,True,2154,191,755,42.9603,10616,600.044,1694354
N160K20M4N2,160,651,20,True,2035,192,8175,462.632,10597,600.016,1694354
N160K20M4N3,160,653,20,True,1868,187,121,6.86005,10576,600.004,1694354
N160K20M4N4,160,644,20,True,2006,326,332,18.9801,10553,600.035,1694354
N160K20M4N5,160,660,20,True,2075,151,1159,67.5361,10298,600.017,1694354
N2560K160M4N1,2560,10879,240,True,36446,4476,559,599.553,560,600.634,1694354
N2560K160M4N2,2560,10894,240,True,36479,6952,552,596.663,556,600.989,1694354
N2560K160M4N3,2560,10877,240,True,35646,3765,556,599.934,557,600.993,1694354
N2560K160M4N4,2560,10873,240,True,36987,6898,557,596.354,561,600.626,1694354
N2560K160M4N5,2560,10917,240,True,36979,7381,558,598.533,560,600.686,1694354
N320K40M4N1,320,1309,40,True,4186,574,262,30.0016,5248,600.101,1694354
N320K40M4N2,320,1307,40,True,4001,626,956,108.681,5279,600.043,1694354
N320K40M4N3,320,1311,40,True,4469,582,339,38.7779,5244,600.032,1694354
N320K40M4N4,320,1306,40,True,3949,428,454,52.1658,5259,600.083,1694354
N320K40M4N5,320,1311,40,True,4343,412,1128,128.919,5212,600.021,1694354
N5120K320M4N1,5120,21775,480,True,74792,15706,272,601.99,272,601.99,1694354
N5120K320M4N2,5120,21803,480,True,75826,15317,272,600.744,272,600.744,1694354
N640K80M4N1,640,2615,80,True,8459,1622,606,142.898,2555,600.006,1694354
N640K80M4N2,640,2636,80,True,8308,1362,768,182.294,2543,600.042,1694354
N640K80M4N3,640,2623,80,True,8477,1797,941,220.587,2552,600.102,1694354
N640K80M4N4,640,2624,80,True,8356,1353,1849,432.873,2556,600.086,1694354
N640K80M4N5,640,2612,80,True,8432,826,547,128.552,2570,600.07,1694354
N1280K80M4N1,1280,5419,120,True,17686,3269,1076,540.243,1196,600.02,1884283
N1280K80M4N2,1280,5405,120,True,17743,3131,1129,562.064,1206,600.136,1884283
N1280K80M4N3,1280,5433,120,True,18316,1839,1187,599.975,1188,600.489,1884283
N1280K80M4N4,1280,5438,120,True,18187,3595,1182,599.166,1184,600.19,1884283
N1280K80M4N5,1280,5467,120,True,18573,2313,1115,563.325,1186,600.04,1884283
N160K20M4N1,160,649,20,True,2156,161,2438,140.428,10570,600.011,1884283
N160K20M4N2,160,651,20,True,2033,231,436,24.4722,10639,600.036,1884283
N160K20M4N3,160,653,20,True,1868,151,146,8.29626,10554,600.032,1884283
N160K20M4N4,160,644,20,True,2008,249,536,30.6957,10514,600.011,1884283
N160K20M4N5,160,660,20,True,2073,150,1449,84.2058,10317,600.016,1884283
N2560K160M4N1,2560,10879,240,True,36412,6418,553,594.222,559,600.6,1884283
N2560K160M4N2,2560,10894,240,True,36525,3392,556,596.309,560,600.548,1884283
N2560K160M4N3,2560,10877,240,True,35668,5808,560,598.892,562,601.026,1884283
N2560K160M4N4,2560,10873,240,True,37016,7344,559,600.958,559,600.958,1884283
N2560K160M4N5,2560,10917,240,True,36975,6019,563,600.804,563,600.804,1884283
N320K40M4N1,320,1309,40,True,4185,580,1603,185.87,5186,600.097,1884283
N320K40M4N2,320,1307,40,True,4002,574,2469,283.879,5232,600.023,1884283
N320K40M4N3,320,1311,40,True,4466,736,3901,446.033,5244,600.026,1884283
N320K40M4N4,320,1306,40,True,3949,401,4914,567.837,5197,600.102,1884283
N320K40M4N5,320,1311,40,True,4343,405,969,112.777,5178,600.037,1884283
N5120K320M4N1,5120,21775,480,True,75009,15509,268,596.257,270,600.668,1884283
N5120K320M4N2,5120,21803,480,True,75850,14978,270,596.385,272,600.805,1884283
N640K80M4N1,640,2615,80,True,8464,1293,921,214.771,2574,600.104,1884283
N640K80M4N2,640,2636,80,True,8307,1321,606,144.585,2526,600.192,1884283
N640K80M4N3,640,2623,80,True,8477,1444,1599,374.807,2547,600.112,1884283
N640K80M4N4,640,2624,80,True,8360,1250,1188,281.341,2542,600.058,1884283
N640K80M4N5,640,2612,80,True,8438,1198,837,194.888,2581,600.157,1884283
N1280K80M4N1,1280,5419,120,True,17696,1762,1099,565.322,1169,600.147,1887782
N1280K80M4N2,1280,5405,120,True,17745,1858,1142,581.671,1178,600.246,1887782
N1280K80M4N3,1280,5433,120,True,18325,3063,1142,586.046,1171,600.473,1887782
N1280K80M4N4,1280,5438,120,True,18185,1736,1109,555.134,1195,600.2,1887782
N1280K80M4N5,1280,5467,120,True,18573,1423,1159,584.087,1191,600.146,1887782
N160K20M4N1,160,649,20,True,2165,331,145,8.19644,10456,600.034,1887782
N160K20M4N2,160,651,20,True,2034,160,137,7.74371,10519,600.041,1887782
N160K20M4N3,160,653,20,True,1867,383,150,8.86304,10570,600.028,1887782
N160K20M4N4,160,644,20,True,2006,388,151,8.51464,10503,600.016,1887782
N160K20M4N5,160,660,20,True,2074,162,2293,137.546,10012,600.016,1887782
N2560K160M4N1,2560,10879,240,True,36467,4724,542,597.401,545,600.582,1887782
N2560K160M4N2,2560,10894,240,True,36551,5818,544,598.259,546,600.517,1887782
N2560K160M4N3,2560,10877,240,True,35674,2989,541,600.337,541,600.337,1887782
N2560K160M4N4,2560,10873,240,True,36948,7421,540,601.033,540,601.033,1887782
N2560K160M4N5,2560,10917,240,True,37018,6732,546,600.927,546,600.927,1887782
N320K40M4N1,320,1309,40,True,4185,412,693,81.3538,5158,600.052,1887782
N320K40M4N2,320,1307,40,True,4003,534,218,25.3497,5076,600.083,1887782
N320K40M4N3,320,1311,40,True,4467,441,552,66.5442,4997,600.097,1887782
N320K40M4N4,320,1306,40,True,3950,338,569,64.8818,5009,600.062,1887782
N320K40M4N5,320,1311,40,True,4344,348,549,67.9608,4732,600.054,1887782
N5120K320M4N1,5120,21775,480,True,75547,11575,242,597.752,243,600.062,1887782
N5120K320M4N2,5120,21803,480,True,75702,13942,272,600.493,272,600.493,1887782
N640K80M4N1,640,2615,80,True,8460,1834,817,209.084,2288,600.007,1887782
N640K80M4N2,640,2636,80,True,8311,1274,1370,370.636,2240,600.094,1887782
N640K80M4N3,640,2623,80,True,8474,1028,585,157.022,2277,600.06,1887782
N640K80M4N4,640,2624,80,True,8355,1529,2013,526.076,2290,600.108,1887782
N640K80M4N5,640,2612,80,True,8435,1216,1287,334.093,2334,600.213,1887782
