Instance,Cplex,Simplex,Isolation,Local Search,Calinescu,Exponential Clocks,Buchbinder,Single Threshold 1,Single Threshold 2,Descending Threshold 1,Descending Threshold 2,Independent Threshold,3-Ingredient Mix,4-Ingredient Mix
40T4E1,14196.0,14196.0,19354.0,14200.2,14196.0,14196.0,14196.0,14196.0,14196.0,14196.0,14196.0,14196.0,14196.0,14196.0
40T4E2,14102.0,14102.0,18668.0,14103.8,14102.0,14102.0,14102.0,14102.0,14102.0,14102.0,14102.0,14102.0,14102.0,14102.0
40T4E3,14336.0,14336.0,18966.0,14339.0,14336.0,14336.0,14336.0,14336.0,14336.0,14336.0,14336.0,14336.0,14336.0,14336.0
40T4E4,13966.0,13966.0,19050.0,13968.6,13966.0,13966.0,13966.0,13966.0,13966.0,13966.0,13966.0,13966.0,13966.0,13966.0
40T4E5,14700.0,14700.0,19967.0,14701.4,14700.0,14700.0,14700.0,14700.0,14700.0,14700.0,14700.0,14700.0,14700.0,14700.0
20T1E1,162.0,162.0,189.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
20T1E2,50.0,50.0,61.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
20T1E3,61.0,61.0,70.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
20T1E4,23.0,23.0,34.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
20T1E5,59.0,59.0,61.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
40T2E1,3206.0,3206.0,3438.0,3210.6,3206.0,3206.0,3206.0,3206.0,3206.0,3206.0,3206.0,3206.0,3206.0,3206.0
40T2E2,3587.0,3587.0,3780.0,3590.8,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0,3587.0
40T2E3,3360.0,3360.0,3711.0,3364.6,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0
40T2E4,3467.0,3467.0,3712.0,3471.2,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0
40T2E5,3312.0,3312.0,3518.0,3316.6,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0,3312.0
80T4E1,20646.0,20646.0,25620.0,20650.2,20646.0,20646.0,20646.0,20646.0,20646.0,20646.0,20646.0,20646.0,20646.0,20646.0
80T4E2,20400.0,20400.0,24998.0,20404.0,20400.0,20400.0,20400.0,20400.0,20400.0,20400.0,20400.0,20400.0,20400.0,20400.0
80T4E3,20235.0,20235.0,24735.0,20235.6,20235.0,20235.0,20235.0,20235.0,20235.0,20235.0,20235.0,20235.0,20235.0,20235.0
80T4E4,19621.0,19621.0,24030.0,19621.8,19621.0,19621.0,19621.0,19621.0,19621.0,19621.0,19621.0,19621.0,19621.0,19621.0
80T4E5,20091.0,20091.0,24297.0,20094.2,20091.0,20091.0,20091.0,20091.0,20091.0,20091.0,20091.0,20091.0,20091.0,20091.0
20T4E1,14020.0,14020.0,18782.0,14032.8,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0
20T4E2,15014.0,15014.0,20190.0,15037.8,15014.0,15014.0,15014.0,15014.0,15014.0,15014.0,15014.0,15014.0,15014.0,15014.0
20T4E3,14235.0,14235.0,18812.0,14243.8,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0,14235.0
20T4E4,15053.0,15053.0,20137.0,15068.8,15053.0,15053.0,15053.0,15053.0,15053.0,15053.0,15053.0,15053.0,15053.0,15053.0
20T4E5,14489.0,14489.0,18950.0,14495.4,14489.0,14489.0,14489.0,14489.0,14489.0,14489.0,14489.0,14489.0,14489.0,14489.0
80T2E1,8074.0,8074.0,8312.0,8078.2,8074.0,8074.0,8074.0,8074.0,8074.0,8074.0,8074.0,8074.0,8074.0,8074.0
80T2E2,8353.0,8353.0,8702.0,8356.2,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0
80T2E3,8121.0,8121.0,8206.0,8123.6,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0,8121.0
80T2E4,8084.0,8084.0,8519.0,8086.4,8084.0,8084.0,8084.0,8084.0,8084.0,8084.0,8084.0,8084.0,8084.0,8084.0
80T2E5,7805.0,7805.0,8010.0,7806.4,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0,7805.0
80T1E1,969.0,969.0,1051.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
80T1E2,994.0,994.0,1164.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0,994.0
80T1E3,1183.0,1183.0,1198.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0
80T1E4,692.0,692.0,831.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0
